,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.063,0.008485281374238573,2.0,0.0,-0.069,1.0,-0.057,,,,
1,set1__Glucose carbon source (20mM),-0.1595,0.055861435713737265,2.0,2.0,-0.199,3.0,-0.12,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.2415,0.026162950903902263,2.0,4.0,-0.223,5.0,-0.26,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.16749999999999998,0.06717514421272201,2.0,6.0,-0.12,7.0,-0.215,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.20750000000000002,0.0700035713374682,2.0,8.0,-0.158,9.0,-0.257,,,,
5,set5__D-Glucose carbon source,0.0135,0.02050609665440988,2.0,10.0,-0.001,11.0,0.028,,,,
6,set5__Levulinic Acid carbon source,0.052000000000000005,0.11827087553578017,4.0,12.0,0.095,13.0,0.191,14.0,0.007,15.0,-0.085
7,set5__Vanillin carbon source,-0.263,0.10748023074035525,2.0,16.0,-0.187,17.0,-0.339,,,,
8,set5__p-Coumaric acid carbon source,-0.1325,0.12091525958289963,2.0,18.0,-0.218,19.0,-0.047,,,,
9,set6__D-Glucose carbon source,-0.031,,1.0,20.0,-0.031,,,,,,
10,set6__Ferulic Acid carbon source,-0.414,,1.0,21.0,-0.414,,,,,,
11,set6__benzoic acid carbon source,-0.061,,1.0,22.0,-0.061,,,,,,
12,set6__Valerolactam carbon source,0.025,,1.0,23.0,0.025,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.033,,1.0,24.0,-0.033,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.099,,1.0,25.0,-0.099,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.011000000000000001,0.043840620433565944,2.0,26.0,-0.042,30.0,0.02,,,,
16,set7__Valerolactam 10 mM carbon source,0.151,,1.0,27.0,0.151,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.029,,1.0,28.0,-0.029,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.02949999999999999,0.15909902576697318,2.0,29.0,-0.083,31.0,0.142,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.08,,1.0,32.0,-0.08,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.081,,1.0,33.0,-0.081,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.448,,1.0,34.0,-0.448,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.061,0.09333809511662428,2.0,35.0,0.127,47.0,-0.005,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.044000000000000004,0.16546298679765212,2.0,36.0,-0.161,49.0,0.073,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.048,,1.0,37.0,-0.048,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.071,,1.0,38.0,0.071,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.071,,1.0,39.0,-0.071,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.036,,1.0,40.0,0.036,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.058,,1.0,41.0,-0.058,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.007,,1.0,42.0,0.007,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.135,,1.0,43.0,-0.135,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.028,,1.0,44.0,0.028,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.015,,1.0,45.0,0.015,,,,,,
