,-0.2298061042899446,-0.19916529038461867,-0.16852447647929272,-0.13788366257396678,-0.10724284866864084,-0.0766020347633149,-0.045961220857988955,-0.015320406952663013,0.01532040695266293,0.045961220857988844,0.07660203476331481,0.10724284866864078,0.1378836625739667,0.1685244764792926,0.19916529038461858,0.22980610428994455,0.26044691819527044,0.29108773210059635,0.32172854600592227,0.3523693599112483
thresh,-0.15320406952662974,0.15320406952662974,1,,,,,,,,,,,,,,,,,
unreg,3,1,1,1,2,14,43,2274,2340,45,5,2,0,0,0,0,0,0,1,0
unreg_genes,['spuF' 'spuH' 'spuG'],['spuD'],['kauB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_2884'],[]
