,-0.07343978076278801,-0.024479926920929332,0.024479926920929346,0.07343978076278801,0.1223996346046467,0.1713594884465054,0.22031934228836403,0.2692791961302227,0.3182390499720814,0.3671989038139401,0.4161587576557988,0.46511861149765743,0.5140784653395161,0.5630383191813748,0.6119981730232334,0.6609580268650922,0.7099178807069508,0.7588777345488095,0.8078375883906682,0.8567974422325269
thresh,-0.09791970768371736,0.09791970768371736,1,,,,,,,,,,,,,,,,,
unreg,5,2513,2208,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
unreg_genes,[],[],[],[],['glnG'],[],[],[],[],[],[],[],[],['gltB'],['gltD'],[],[],[],[],[]
