,PP_0922
set101IT020,0.099
set101IT021,0.068
set101IT022,-0.21
set101IT023,0.154
set101IT024,0.164
set101IT025,-0.16
set101IT026,0.135
set101IT027,0.051
set101IT028,-0.152
set101IT029,0.463
set101IT030,-0.007
set101IT031,-0.261
set101IT032,0.082
set101IT033,0.148
set101IT034,0.065
set101IT035,0.215
set101IT036,0.107
set101IT037,-0.012
set101IT038,0.432
set101IT039,0.363
set101IT040,-0.223
set101IT041,0.145
set101IT042,0.092
set101IT043,-0.202
set101IT044,0.329
set101IT045,0.091
set101IT046,-0.08
set101IT047,0.278
set101IT048,0.101
