,PP_2844
set1IT078,-0.063
set1IT079,-0.281
set1IT080,-0.355
set1IT081,-0.498
set1IT082,-0.482
set1IT083,0.061
set1IT084,-0.154
set1IT085,0.371
set1IT086,-0.013
set1IT087,-0.122
set5IT075,-0.025
set5IT076,-0.131
set5IT081,-0.433
set5IT082,0.008
set5IT083,-0.168
set5IT084,0.243
set5IT085,-0.153
set5IT086,-0.203
set5IT087,0.085
set5IT088,0.112
set6IT057,0.332
set6IT059,-0.047
set6IT061,0.018
set6IT064,0.179
set6IT065,0.109
set7IT042,0.2
set7IT044,-0.185
set7IT045,-0.081
set7IT055,0.112
set7IT056,-0.251
set7IT057,-0.086
set7IT062,0.135
set8IT058,0.056
set8IT059,0.447
set8IT060,0.312
set8IT062,-0.081
set8IT064,-0.107
set8IT070,-0.299
set8IT073,0.222
set8IT080,-0.257
set8IT081,0.121
set8IT082,0.192
set8IT084,0.301
set8IT085,-0.061
set8IT089,-0.011
set8IT090,-0.254
set8IT092,0.288
set8IT093,0.237
set8IT094,0.046
set8IT095,-0.326
set8IT096,0.091
set9IT020,-0.124
set9IT022,0.003
set9IT025,-0.085
set10IT006,-0.03
set10IT008,0.083
set10IT010,0.013
set10IT017,0.148
set10IT018,-0.146
set10IT019,-0.23
set10IT020,-0.129
set10IT021,-0.161
set10IT022,-0.326
set10IT023,0.268
set10IT024,0.126
set10IT025,0.581
set10IT026,0.231
set10IT027,-0.097
set10IT028,0.123
set10IT029,0.02
set10IT031,-0.163
set10IT032,-0.345
set10IT033,-0.27
set10IT034,-0.037
set10IT035,0.294
set10IT036,0.327
set10IT037,-0.164
set10IT043,0.253
set10IT044,0.186
set10IT053,0.252
set12IT001,-0.084
set12IT002,-0.011
set12IT004,0.199
set12IT007,-0.406
set12IT008,-0.198
set12IT009,-0.089
set12IT014,0.005
set12IT015,-0.538
set12IT016,0.145
set12IT017,0.039
set12IT023,-0.04
set12IT024,-0.083
set12IT025,-0.028
set12IT026,0.17
set12IT027,0.304
set12IT028,-0.09
set12IT029,0.161
set12IT031,0.021
set12IT032,0.142
set12IT034,-0.516
set12IT037,-0.219
set12IT038,-0.023
set12IT039,0.036
set12IT044,0.144
set12IT046,0.296
set12IT053,0.017
set12IT054,0.241
set12IT055,0.29
set12IT056,-0.511
set12IT057,-0.154
set12IT058,0.011
set12IT059,-0.153
set15IT054,0.109
set15IT057,0.267
set15IT058,0.337
set15IT059,0.062
set15IT060,-0.031
set15IT061,-0.623
set15IT062,-0.109
set15IT063,0.238
set15IT064,-0.125
set15IT065,0.207
set15IT066,-0.085
set15IT067,-0.178
set15IT068,-0.255
set15IT071,0.273
set15IT072,-0.368
set15IT073,0.025
set15IT074,0.138
set15IT075,-0.303
set15IT076,0.416
set15IT077,0.193
set15IT078,0.208
set15IT079,0.123
set15IT080,-0.469
set15IT081,0.202
set16IT004,0.01
set16IT005,-0.157
set16IT006,-0.075
set16IT007,-0.087
set16IT008,-0.064
set16IT009,0.075
set16IT010,-0.143
set16IT011,-0.149
set16IT012,0.033
set16IT013,-0.027
set16IT014,0.125
set16IT015,-0.095
set27IT004,-0.049
set27IT005,0.145
set27IT006,-0.108
set27IT007,0.223
set27IT008,-0.377
set27IT009,0.039
set27IT010,0.141
set27IT011,-0.144
set27IT012,0.115
set27IT013,-0.156
set27IT014,0.293
set27IT015,-0.081
set27IT016,0.052
set27IT017,0.156
set27IT018,-0.155
set27IT019,-0.078
set27IT020,-0.348
set27IT021,0.01
set27IT024,-0.461
set27IT025,0.086
set27IT028,-0.087
set27IT029,-0.584
set27IT030,-0.444
set27IT031,-0.459
set27IT032,0.011
set27IT033,0.168
set27IT034,-0.077
set27IT035,-0.014
set27IT036,-0.192
set27IT037,-0.026
set27IT038,-0.222
set27IT039,-0.143
set27IT040,-0.284
set27IT041,0.264
set27IT042,-0.353
set27IT043,0.067
set27IT044,-0.046
set27IT045,0.099
set27IT046,-0.393
set27IT047,0.088
set27IT048,-0.241
set27IT049,-0.45
set27IT050,-0.127
set27IT051,-0.051
set27IT052,0.007
set27IT053,-0.052
set27IT054,-0.193
set27IT055,0.012
set27IT056,0.052
set27IT057,-0.191
set27IT058,-0.479
set27IT059,-0.458
set27IT060,-0.338
set27IT061,-0.13
set27IT062,0.09
set27IT063,-0.235
set27IT064,-0.447
set27IT065,-0.215
set27IT066,-0.172
set27IT067,-0.17
set27IT068,-0.394
set27IT069,-0.477
set27IT070,-0.096
set27IT071,-0.078
set27IT072,-0.109
set27IT073,0.167
set28IT003,-0.179
set28IT004,-0.112
set28IT005,-0.122
set28IT006,-0.313
set28IT007,-0.237
set28IT008,-0.378
set28IT009,-0.124
set28IT010,-0.104
set28IT013,-0.304
set28IT014,-0.07
set28IT017,-0.043
set28IT018,-0.22
set28IT021,0.003
set28IT022,-0.129
set28IT023,-0.526
set28IT024,-0.534
set28IT027,0.072
set28IT028,-0.13
set28IT029,0.084
set28IT030,-0.182
set28IT031,-0.069
set28IT032,0.087
set28IT035,-0.191
set28IT036,-0.003
set28IT037,-0.315
set28IT038,-0.53
set28IT039,-0.087
set28IT040,-0.009
set28IT041,-0.16
set28IT042,-0.424
set28IT045,-0.31
set28IT046,-0.279
set29IT004,0.101
set29IT005,0.081
set29IT006,-0.351
set29IT007,0.112
set29IT014,-0.108
set29IT015,-0.554
set29IT057,0.088
set29IT058,-0.021
set100IT008,-0.059
set100IT009,0.046
set100IT010,0.302
set100IT011,0.043
set100IT012,0.161
set100IT013,0.15
set100IT014,0.239
set100IT015,0.257
set100IT016,0.067
set100IT017,0.024
set100IT018,0.226
set100IT019,-0.226
set100IT020,0.151
set100IT021,-0.071
set100IT022,0.042
set100IT023,0.1
set100IT024,0.236
set100IT025,0.078
set100IT026,0.241
set100IT027,0.211
set100IT028,0.18
set100IT029,-0.01
set100IT030,0.268
set100IT031,0.041
set100IT032,-0.022
set100IT033,0.158
set100IT034,0.003
set100IT035,0.339
set100IT036,0.347
set100IT037,0.047
set100IT038,0.386
set100IT039,-1.06
set100IT040,0.542
set100IT041,-0.042
set100IT042,-0.144
set100IT043,0.165
set100IT044,-0.013
set100IT045,-0.191
set100IT046,0.005
set101IT007,0.576
set101IT008,-0.217
set101IT009,0.043
set101IT013,0.054
set101IT014,-0.067
set101IT015,-0.626
set101IT016,0.068
set101IT017,-0.068
set101IT018,-0.666
set101IT019,0.43
set101IT020,0.125
set101IT021,-0.353
set101IT022,-0.101
set101IT023,-0.134
set101IT024,-0.279
set101IT025,0.382
set101IT026,-0.113
set101IT027,-0.347
set101IT028,0.117
set101IT029,-0.179
set101IT030,-0.162
set101IT031,0.345
set101IT032,-0.198
set101IT033,-0.013
set101IT034,0.302
set101IT035,0.019
set101IT036,-0.182
set101IT037,0.437
set101IT038,0.029
set101IT039,-0.189
set101IT040,-0.102
set101IT041,0.365
set101IT042,-0.207
set101IT043,0.561
set101IT044,0.035
set101IT045,-0.006
set101IT046,0.431
set101IT047,-0.207
set101IT048,-0.291
