,A,PP_3603
R2,,0.05041598922397106
xmin,,-3.065
xmid,,-0.3039995806286538
xmax,,3.446
ystart,,-0.038982603991663534
yend,,-4.171203447605059
set1IT078,0.2119612902947015,-0.359
set1IT079,0.4981439806622099,-0.156
set1IT080,0.350577603988324,-0.019
set1IT081,-0.11803085295178,-0.181
set1IT082,0.3584442057341527,2.04
set1IT083,-0.2116844432493933,1.996
set1IT084,0.2722582173405201,-1.011
set1IT085,-0.5604701953017753,-1.138
set1IT086,0.1758565752603582,-0.649
set1IT087,0.7746234345729459,-0.304
set5IT075,0.9537480171198172,-0.605
set5IT076,0.904837604545989,-0.55
set5IT081,0.529795839875441,-1.082
set5IT082,0.6766716050785767,-1.094
set5IT083,0.7630351170245825,-0.982
set5IT084,0.7926738732819463,-0.626
set5IT085,1.0698139189737477,-1.254
set5IT086,0.4614138381199678,-1.538
set5IT087,-0.0078232346506461,-0.438
set5IT088,0.3112040623558645,-0.781
set6IT057,-0.0999903252459901,-0.448
set6IT059,-0.2404576557254864,-0.953
set6IT061,0.0506335295556765,-0.777
set6IT064,-0.5566494651037062,-0.252
set6IT065,-7.040992417855709,1.42
set7IT042,0.7523486503577863,-0.388
set7IT044,0.228115576565095,2.411
set7IT045,0.0512701338356605,3.446
set7IT055,-0.4292544151722346,-3.065
set7IT056,-0.686176747541855,-0.44
set7IT057,-0.1660760753033381,2.823
set7IT062,0.5421655932591025,-1.562
set8IT058,-0.2711559825053333,0.087
set8IT059,-1.216889576647627,0.485
set8IT060,-0.7287917931519985,0.383
set8IT062,-0.664379023959474,-0.099
set8IT064,-0.8701416610953295,0.296
set8IT070,-0.0084650164736719,0.083
set8IT073,-0.6295209314360394,0.186
set8IT080,0.4855505137574812,0.183
set8IT081,0.1369675403115476,0.232
set8IT082,-0.7237649444516044,0.709
set8IT084,-0.0927748382201484,0.379
set8IT085,-0.028868740929167,0.482
set8IT089,0.3451520770652943,-0.299
set8IT090,-0.104423094349096,-0.039
set8IT092,-0.6948257302730029,-0.174
set8IT093,-0.6422239449796829,-0.08
set8IT094,-0.5203024608783545,0.106
set8IT095,-0.1323018541389494,-0.047
set8IT096,0.7237611491157072,-0.152
set9IT020,-0.1213000025699832,0.28
set9IT022,-0.0893299712095461,-0.279
set9IT025,-0.4363302581443014,0.036
set10IT006,-0.2931369883350161,-0.333
set10IT008,-1.0744483651658607,-0.947
set10IT010,0.0019469470632338,-1.578
set10IT017,-0.385241819014687,-0.43
set10IT018,0.3271916183502149,-0.399
set10IT019,0.2198883210823654,-0.41
set10IT020,0.3264145846079562,-0.467
set10IT021,0.2803398725892903,-0.422
set10IT022,0.29140257254546,-0.082
set10IT023,-0.1395636692877681,-0.5
set10IT024,-0.3574616370861501,-0.423
set10IT025,0.0792034932890291,-0.416
set10IT026,0.2401023839555774,-0.797
set10IT027,-0.4218490198653181,-0.448
set10IT028,-0.193793891892667,-0.435
set10IT029,0.1384910511027582,-0.334
set10IT031,0.4369592992033465,-0.382
set10IT032,0.2302595520833344,-0.285
set10IT033,-0.2612060702926526,-0.282
set10IT034,0.0726388816238258,-0.372
set10IT035,-0.388862237348572,-0.58
set10IT036,0.041631069698235,-0.497
set10IT037,-0.1959334419903342,-0.303
set10IT043,0.7717182375317733,-0.137
set10IT044,0.781735464157846,0.125
set10IT053,-0.3556583760144953,-1.02
set12IT001,-0.8129124950411857,-1.737
set12IT002,-0.5094534016230557,-0.639
set12IT004,0.2991133951139422,-1.031
set12IT007,-0.2370268131627538,-0.907
set12IT008,0.3384529114482791,-0.222
set12IT009,-0.1618654630779925,-2.4
set12IT014,0.0621062776196012,-1.445
set12IT015,-0.929396487402709,-0.792
set12IT016,0.1827523589186006,-0.488
set12IT017,-0.624339352270245,-0.436
set12IT023,0.0244805346479305,-2.662
set12IT024,-0.3536035685579141,-0.467
set12IT025,-0.3111298192206536,-0.624
set12IT026,-0.5188001374311763,-0.786
set12IT027,-0.4570021618165356,-0.401
set12IT028,-0.0439493092291039,-0.623
set12IT029,-1.2594117326188787,-1.054
set12IT031,-0.9966563739263792,-2.182
set12IT032,-0.8721950086383417,-0.282
set12IT034,0.3422918761439081,-0.522
set12IT037,-0.5449055557625698,-0.575
set12IT038,0.1030517013487997,-0.019
set12IT039,0.3193679528172962,-1.746
set12IT044,-0.9511076971409276,-1.333
set12IT046,-0.5506079657971003,-1.192
set12IT053,-0.0803654816301687,-2.934
set12IT054,-0.8090470987138552,-0.761
set12IT055,-0.1333549969107245,-0.551
set12IT056,-0.4303151037104822,-1.225
set12IT057,0.2304274815864109,-0.32
set12IT058,0.1523369071095404,-0.765
set12IT059,-0.2278651103890103,-1.02
set15IT054,-0.3043857948817168,-0.324
set15IT057,-0.6242395031108441,-2.354
set15IT058,-0.0032546640580983,-0.951
set15IT059,-0.0247648783620159,-0.158
set15IT060,0.285981788869374,-0.587
set15IT061,0.4711534088807317,-0.352
set15IT062,0.435552720722604,-0.446
set15IT063,0.8021090726892598,-1.329
set15IT064,0.0403185545306361,-0.379
set15IT065,-1.1655561301047537,-1.045
set15IT066,0.466641309130656,-0.092
set15IT067,0.5434930205265818,-0.383
set15IT068,-0.1557925233977772,-0.536
set15IT071,0.3293263029852714,-0.787
set15IT072,0.3608947534085174,-0.37
set15IT073,0.2893498761429447,-0.32
set15IT074,-0.2361753135542666,-1.23
set15IT075,0.4566604271007156,-1.031
set15IT076,0.8950994682570804,-0.228
set15IT077,0.566469772571801,-0.198
set15IT078,0.2742919904522216,-0.362
set15IT079,0.3957588052498833,-1.383
set15IT080,0.3358609224206342,-0.303
set15IT081,0.4854049644891328,-0.454
set16IT004,0.113476799304247,-1.019
set16IT005,0.1036776235400024,-0.978
set16IT006,0.8140196970502959,-1.933
set16IT007,-0.0863516578812421,-1.305
set16IT008,0.3682558315490554,-0.682
set16IT009,-0.0473498228201892,-0.525
