,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.3145,0.37123106012293744,2.0,0.0,0.577,1.0,0.052,,,,
1,set1__Glucose carbon source (20mM),0.18100000000000002,0.13717871555019023,2.0,2.0,0.278,3.0,0.084,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.20500000000000002,0.5982123368838193,2.0,4.0,-0.218,5.0,0.628,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.17099999999999999,0.2856711395993652,2.0,6.0,-0.031,7.0,0.373,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.07850000000000001,1.003384522503711,2.0,8.0,-0.788,9.0,0.631,,,,
5,set5__D-Glucose carbon source,-0.13949999999999999,0.6427600640985717,2.0,10.0,0.315,11.0,-0.594,,,,
6,set5__Levulinic Acid carbon source,-0.17875000000000002,0.1599278483150032,4.0,12.0,-0.182,13.0,-0.136,14.0,-0.006,15.0,-0.391
7,set5__Vanillin carbon source,0.1125,0.0035355339059327407,2.0,16.0,0.11,17.0,0.115,,,,
8,set5__p-Coumaric acid carbon source,0.025500000000000002,0.0035355339059327385,2.0,18.0,0.028,19.0,0.023,,,,
9,set6__D-Glucose carbon source,0.042,,1.0,20.0,0.042,,,,,,
10,set6__Ferulic Acid carbon source,0.009,,1.0,21.0,0.009,,,,,,
11,set6__benzoic acid carbon source,0.065,,1.0,22.0,0.065,,,,,,
12,set6__Valerolactam carbon source,-0.163,,1.0,23.0,-0.163,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.175,,1.0,24.0,-0.175,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.425,,1.0,25.0,-0.425,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.4365,0.32456201256462536,2.0,26.0,-0.207,30.0,-0.666,,,,
16,set7__Valerolactam 10 mM carbon source,-0.199,,1.0,27.0,-0.199,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.033,,1.0,28.0,-0.033,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.5505,0.24112341238461268,2.0,29.0,-0.721,31.0,-0.38,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.462,,1.0,32.0,0.462,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.405,,1.0,33.0,-0.405,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.293,,1.0,34.0,0.293,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.11449999999999999,0.4249711754931151,2.0,35.0,-0.415,47.0,0.186,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.0030000000000000027,0.9489373003523468,2.0,36.0,0.668,49.0,-0.674,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.084,,1.0,37.0,-0.084,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.144,,1.0,38.0,-0.144,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.253,,1.0,39.0,0.253,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.157,,1.0,40.0,-0.157,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.241,,1.0,41.0,0.241,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.308,,1.0,42.0,0.308,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.218,,1.0,43.0,0.218,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.275,,1.0,44.0,0.275,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.165,,1.0,45.0,-0.165,,,,,,
