,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-4.9665,0.12798632739476512,2.0,0.0,-5.057,1.0,-4.876,,,,
1,set1__Glucose carbon source (20mM),-5.2044999999999995,1.0146982310026953,2.0,2.0,-5.922,3.0,-4.487,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-3.864,0.22768838354206866,2.0,4.0,-3.703,5.0,-4.025,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-5.2065,0.6710443353460335,2.0,6.0,-4.732,7.0,-5.681,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-2.9945,0.0869741340859455,2.0,8.0,-2.933,9.0,-3.056,,,,
5,set5__D-Glucose carbon source,-4.9864999999999995,0.04879036790187174,2.0,10.0,-4.952,11.0,-5.021,,,,
6,set5__Levulinic Acid carbon source,-5.63125,0.8270096230798445,4.0,12.0,-5.376,13.0,-4.58,14.0,-6.403,15.0,-6.166
7,set5__Vanillin carbon source,-6.0375,0.5564930367938128,2.0,16.0,-5.644,17.0,-6.431,,,,
8,set5__p-Coumaric acid carbon source,-5.388999999999999,0.0014142135623729393,2.0,18.0,-5.388,19.0,-5.39,,,,
9,set6__D-Glucose carbon source,-2.695,,1.0,20.0,-2.695,,,,,,
10,set6__Ferulic Acid carbon source,-2.908,,1.0,21.0,-2.908,,,,,,
11,set6__benzoic acid carbon source,-2.325,,1.0,22.0,-2.325,,,,,,
12,set6__Valerolactam carbon source,-3.546,,1.0,23.0,-3.546,,,,,,
13,set6__D-Glucuronic Acid carbon source,-3.166,,1.0,24.0,-3.166,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-3.996,,1.0,25.0,-3.996,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-3.306,0.6986214998123089,2.0,26.0,-3.8,30.0,-2.812,,,,
16,set7__Valerolactam 10 mM carbon source,-3.941,,1.0,27.0,-3.941,,,,,,
17,set7__L-Lysine 10 mM carbon source,-2.639,,1.0,28.0,-2.639,,,,,,
18,set7__D-Lysine 10 mM carbon source,-3.0134999999999996,0.13647160876900372,2.0,29.0,-3.11,31.0,-2.917,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-2.439,,1.0,32.0,-2.439,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-4.63,,1.0,33.0,-4.63,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-3.174,,1.0,34.0,-3.174,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-3.4025,0.1025304832720494,2.0,35.0,-3.475,47.0,-3.33,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-2.9435000000000002,0.35284628381208727,2.0,36.0,-2.694,49.0,-3.193,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-4.014,,1.0,37.0,-4.014,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-2.916,,1.0,38.0,-2.916,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-2.635,,1.0,39.0,-2.635,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-2.943,,1.0,40.0,-2.943,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-2.628,,1.0,41.0,-2.628,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-3.599,,1.0,42.0,-3.599,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-2.948,,1.0,43.0,-2.948,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-4.328,,1.0,44.0,-4.328,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-5.308,,1.0,45.0,-5.308,,,,,,
