k,name,in_iM,gene_weight,regulator,function,category
82,fModule_83,False,0.0709253748493498,,,
24,fModule_25,False,0.042937969891776,PrpR,,
66,fModule_67,False,-0.0306305950655489,,,
68,fModule_69,False,-0.0210454892974754,,,
39,fModule_40,False,0.0189650403890295,,,
73,fModule_74,False,0.0176794523884993,,,
10,fModule_11,False,-0.0170903333828794,PrpR,,
2,fModule_3,False,0.0161318912790696,,,
42,fModule_43,False,-0.0147792445999352,PhhR,,
1,fModule_2,False,0.0133222634815411,,,
55,fModule_56,False,0.0130659738621276,PydR,,
72,fModule_73,False,0.0123513092961096,RpoD,,
48,fModule_49,False,0.0116080285964676,,,
29,fModule_30,False,0.011390707347787,HutC,,
60,fModule_61,False,-0.0111990101291339,,,
35,fModule_36,False,-0.0106820260285989,,,
80,fModule_81,False,0.0095508508862618,,,
4,fModule_5,False,0.0094171434690596,BenR,,
3,fModule_4,False,0.0090698456972774,,,
52,fModule_53,False,0.0089110361776637,PP_5350,,
11,fModule_12,False,0.0084280204425128,BirA,,
46,fModule_47,False,0.0082844110380714,,,
25,fModule_26,False,0.007395181057027,,,
43,fModule_44,False,-0.0073645461641588,,,
49,fModule_50,False,0.0071492722246972,PP_2046,,
58,fModule_59,False,0.0069514236286111,,,
13,fModule_14,False,-0.0067977733689726,PP_3359,,
77,fModule_78,False,-0.0063698671875396,,,
33,fModule_34,False,-0.0063241463877203,,,
44,fModule_45,False,0.0061788690695453,,,
31,fModule_32,False,-0.0060381324437892,,,
26,fModule_27,False,0.005559367630794,,,
14,fModule_15,False,-0.0054949290002506,,,
7,fModule_8,False,-0.0052937425321031,GltR-II,,
0,fModule_1,False,-0.0052877846658907,,,
9,fModule_10,False,-0.0052322043803453,,,
75,fModule_76,False,0.0050510418509979,,,
8,fModule_9,False,0.0049776292325953,,,
41,fModule_42,False,-0.0048338773819238,,,
32,fModule_33,False,-0.0047675027710641,BirA,,
38,fModule_39,False,-0.0045544942634095,,,
27,fModule_28,False,-0.0041263080360166,VanR,,
22,fModule_23,False,-0.0040044090521244,,,
74,fModule_75,False,0.004002180255236,,,
83,fModule_84,False,0.0039020811344992,,,
59,fModule_60,False,-0.0038822931083998,,,
53,fModule_54,False,-0.0037803212858595,,,
81,fModule_82,False,0.0037418977826237,,,
56,fModule_57,False,-0.0036126547440642,,,
30,fModule_31,False,0.003522843976298,,,
71,fModule_72,False,-0.0034683063086531,,,
34,fModule_35,False,-0.0033875967595287,,,
62,fModule_63,False,-0.0032347570770893,,,
15,fModule_16,False,0.0031409081853393,PcaR,,
23,fModule_24,False,-0.0030836187810052,,,
65,fModule_66,False,-0.0030524124367383,,,
36,fModule_37,False,-0.003037064002435,,,
50,fModule_51,False,-0.0029757803142948,,,
21,fModule_22,False,0.0029187655010619,,,
70,fModule_71,False,-0.0028281708546613,,,
69,fModule_70,False,0.0026327687078487,,,
57,fModule_58,False,0.0026242971677315,PrpR,,
28,fModule_29,False,0.0025280215111652,,,
54,fModule_55,False,0.0023477494199848,,,
76,fModule_77,False,0.0020672379583859,PsrA,,
6,fModule_7,False,-0.0020284924805639,GbdR,,
19,fModule_20,False,-0.0020066434230728,,,
79,fModule_80,False,0.0019560339090732,,,
51,fModule_52,False,-0.0018744433783208,FleQ,,
61,fModule_62,False,0.0017756111136602,PP_3603,,
67,fModule_68,False,-0.0016961778711015,,,
64,fModule_65,False,-0.0016319103487044,DctD-II,,
47,fModule_48,False,0.0013664194506679,,,
5,fModule_6,False,-0.0010790295471666,GcsR,,
78,fModule_79,False,0.0010530529310006,,,
40,fModule_41,False,-0.0008705651211365,,,
20,fModule_21,False,0.0007607410670097,,,
16,fModule_17,False,-0.000504080670662,PedR1,,
63,fModule_64,False,-0.0004933223259978,,,
18,fModule_19,False,-0.0002739471947599,,,
12,fModule_13,False,-0.0002344192843868,ModR,,
37,fModule_38,False,0.0001208013642921,,,
45,fModule_46,False,0.0001188795340316,,,
17,fModule_18,False,-7.588587521187652e-05,,,
