,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-3.081825193757271,,1.0,55.0,-3.081825193757271,,,,,,
41,set10__L-Histidine carbon source,-2.373169647386317,,1.0,56.0,-2.373169647386317,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-3.38669012611822,,1.0,57.0,-3.38669012611822,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-3.032776731262741,,1.0,58.0,-3.032776731262741,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-3.007611243731818,,1.0,59.0,-3.007611243731818,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-2.5740780464621524,,1.0,60.0,-2.5740780464621524,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-3.312166164744943,,1.0,61.0,-3.312166164744943,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,-3.3511521020088764,,1.0,62.0,-3.3511521020088764,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-3.1131917180539967,,1.0,63.0,-3.1131917180539967,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-3.2522999756375044,,1.0,64.0,-3.2522999756375044,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-3.678424379078912,,1.0,65.0,-3.678424379078912,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-3.077303309378989,,1.0,66.0,-3.077303309378989,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-3.864408838510899,,1.0,67.0,-3.864408838510899,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,-3.292166349722011,,1.0,68.0,-3.292166349722011,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,-2.982782385968836,,1.0,69.0,-2.982782385968836,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,-3.8186592177337535,,1.0,70.0,-3.8186592177337535,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,-4.238594396463331,,1.0,71.0,-4.238594396463331,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,-4.6524921628332025,,1.0,72.0,-4.6524921628332025,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-2.7244135997032197,,1.0,73.0,-2.7244135997032197,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,-3.854037049781221,,1.0,74.0,-3.854037049781221,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-1.8702822684288551,,1.0,75.0,-1.8702822684288551,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,-2.676367099527772,,1.0,76.0,-2.676367099527772,,,,,,
