,-0.0877177831847722,-0.0438588915923861,0.0,0.04385889159238611,0.0877177831847722,0.1315766747771583,0.17543556636954444,0.21929445796193053,0.26315334955431663,0.3070122411467027,0.3508711327390888,0.3947300243314749,0.43858891592386107,0.48244780751624716,0.5263066991086333,0.5701655907010194,0.6140244822934054,0.6578833738857915,0.7017422654781776,0.7456011570705637
thresh,-0.10964722898096525,0.10964722898096525,1,,,,,,,,,,,,,,,,,
unreg,1,58,4589,76,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
unreg_genes,[],[],[],[],[],['PP_1348' 'moeB'],['thiC'],['thiD'],['thiG'],[],[],[],[],[],[],['tusA-I'],[],[],[],[]
