,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
61,set10__D-Glucose carbon source with 20AA_mix,-0.404,,1.0,76.0,-0.404,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-0.042,,1.0,77.0,-0.042,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,-0.123,,1.0,78.0,-0.123,,,,,,
64,set10__Sodium butyrate carbon source,-0.681,,1.0,79.0,-0.681,,,,,,
65,set12__Vanillin carbon source,-0.5035000000000001,0.5550788232314399,2.0,80.0,-0.896,97.0,-0.111,,,,
66,"set12__1,2-Propanediol carbon source",-0.3345,0.17889801564019653,2.0,81.0,-0.208,98.0,-0.461,,,,
67,set12__Sodium propionate carbon source,-0.15100000000000002,0.16687720036002524,2.0,82.0,-0.033,99.0,-0.269,,,,
68,set12__2-methyl-1-butanol carbon source,-0.1985,0.40234375849514553,2.0,83.0,0.086,100.0,-0.483,,,,
69,"set12__1,5-Pentanediol carbon source",-0.5489999999999999,0.24183051916579923,2.0,84.0,-0.72,101.0,-0.378,,,,
70,"set12__1,4-Butanediol carbon source",-0.5185,0.3981011178080263,2.0,85.0,-0.237,102.0,-0.8,,,,
71,set12__Vanillic Acid carbon source,-0.0935,0.5154808434849932,2.0,86.0,0.271,103.0,-0.458,,,,
72,set12__Protocatechuic Acid carbon source,0.055999999999999994,0.12869343417595164,2.0,87.0,0.147,89.0,-0.035,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-0.0295,0.304763022691402,2.0,88.0,-0.245,104.0,0.186,,,,
74,set12__L-Lysine carbon source,-0.2955,0.22273863607376249,2.0,90.0,-0.138,105.0,-0.453,,,,
75,set12__p-Coumaric acid carbon source,0.1015,0.13505739520663057,2.0,91.0,0.197,106.0,0.006,,,,
76,set12__benzoic acid carbon source,-0.177,0.09192388155425117,2.0,92.0,-0.242,107.0,-0.112,,,,
77,set12__Ferulic Acid carbon source,-0.646,0.342239682094289,2.0,93.0,-0.888,108.0,-0.404,,,,
78,set12__D-Glucose carbon source,-0.16999999999999998,0.17111984104714448,2.0,94.0,-0.049,109.0,-0.291,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.6114999999999999,0.34860364312496794,2.0,95.0,-0.858,110.0,-0.365,,,,
80,set12__Phenylacetic acid carbon source,-0.522,0.2489015869776647,2.0,96.0,-0.346,111.0,-0.698,,,,
81,set15__Butyl stearate carbon source,-0.21700000000000003,0.2588010819142764,2.0,112.0,-0.034,124.0,-0.4,,,,
82,set15__Hexanoic acid carbon source,-0.1175,0.6965001794687493,2.0,113.0,-0.61,125.0,0.375,,,,
83,set15__Decanoic acid carbon source,-0.313,0.14566399692442877,2.0,114.0,-0.21,126.0,-0.416,,,,
84,set15__Lauric acid carbon source,0.014499999999999992,0.1817264427649427,2.0,115.0,-0.114,127.0,0.143,,,,
85,set15__Valeric acid carbon source,-0.2555,0.11525840533340727,2.0,116.0,-0.174,128.0,-0.337,,,,
86,set15__Octanoic acid carbon source,-0.12050000000000001,0.3910300499961608,2.0,117.0,0.156,129.0,-0.397,,,,
87,set15__Nonanoic acid carbon source,-0.13949999999999999,0.30052038200428266,2.0,118.0,-0.352,130.0,0.073,,,,
88,set15__Tween 20 carbon source,0.3995,0.5338656197958433,2.0,119.0,0.777,131.0,0.022,,,,
89,set15__Myristic acid carbon source,-0.17600000000000005,0.5388153672641492,2.0,120.0,-0.557,132.0,0.205,,,,
90,set15__Sodium butyrate carbon source,-0.648,0.6250823945689081,2.0,121.0,-0.206,133.0,-1.09,,,,
91,set15__Oleic acid carbon source,-0.39149999999999996,0.12091525958289961,2.0,122.0,-0.306,134.0,-0.477,,,,
92,set15__Heptanoic acid carbon source,-0.020999999999999998,0.0565685424949238,2.0,123.0,0.019,135.0,-0.061,,,,
93,set16__Butanol carbon source,-0.0945,0.010606601717798213,2.0,136.0,-0.102,137.0,-0.087,,,,
94,"set16__1,3-Butandiol carbon source",-0.38049999999999995,0.27930717856868625,2.0,138.0,-0.183,139.0,-0.578,,,,
95,set16__3-methyl-3-butenol carbon source,-0.219,0.03959797974644666,2.0,140.0,-0.191,141.0,-0.247,,,,
96,set16__3-methyl-1-butanol carbon source,-0.2675,0.35850313806157963,2.0,142.0,-0.014,143.0,-0.521,,,,
97,set16__1-Pentanol carbon source,-0.423,0.22627416997969516,2.0,144.0,-0.263,145.0,-0.583,,,,
98,set16__Ethanol carbon source,-0.299,0.11172287142747452,2.0,146.0,-0.378,147.0,-0.22,,,,
99,set27__Ammonium chloride nitrogen source,0.15899999999999997,0.021213203435596427,2.0,148.0,0.144,149.0,0.174,,,,
100,set27__6-aminocaproic acid nitrogen source,-0.24000000000000002,0.40729350596345143,2.0,150.0,0.048,151.0,-0.528,,,,
101,set27__Urea nitrogen source,0.0745,0.07990306627407988,2.0,152.0,0.131,153.0,0.018,,,,
102,set27__Sodium nitrite nitrogen source,-0.13349999999999998,0.22556706319850864,2.0,154.0,0.026,155.0,-0.293,,,,
103,set27__Valerolactam nitrogen source,-0.02099999999999999,0.3054701294725885,2.0,156.0,0.195,157.0,-0.237,,,,
104,set27__4-aminobutyric acid nitrogen source,-0.13049999999999998,0.21991020894901625,2.0,158.0,-0.286,159.0,0.025,,,,
105,set27__Sodium nitrate nitrogen source,-0.241,0.15132085117392116,2.0,160.0,-0.134,161.0,-0.348,,,,
106,set27__5-Aminovaleric acid nitrogen source,-0.1355,0.07283199846221439,2.0,162.0,-0.187,163.0,-0.084,,,,
107,set27__Caprolactam nitrogen source,0.16749999999999998,0.11384419177103415,2.0,164.0,0.248,165.0,0.087,,,,
