,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
160,set100__D-Glucose carbon source with Sodium chloride stress,-0.03466666666666667,0.07614022152143592,3.0,278.0,-0.04,279.0,0.044,280.0,-0.108,,
161,set100__D-Glucose carbon source with Sodium sulfate stress,-0.09799999999999999,0.10223991392797628,3.0,281.0,-0.059,282.0,-0.021,283.0,-0.214,,
162,set100__D-Glucose carbon source with Acetic acid stress,0.01966666666666667,0.130699400661722,3.0,284.0,-0.067,285.0,0.17,286.0,-0.044,,
163,set100__D-Glucose carbon source with Lactic acid stress,-0.019,0.035355339059327376,2.0,287.0,0.006,289.0,-0.044,,,,
164,set100__D-Glucose carbon source with Lactic acide stress,-0.058,,1.0,288.0,-0.058,,,,,,
165,set100__D-Glucose carbon source with Glycolic acid stress,-0.021666666666666667,0.0509345985881241,3.0,290.0,0.001,291.0,0.014,292.0,-0.08,,
166,set101__D-Glucose carbon source,0.08600000000000001,0.01539480431834065,3.0,293.0,0.099,294.0,0.09,295.0,0.069,,
167,set101__D-Glucose carbon source with Protecatechuic acid stress,0.06266666666666668,0.020033305601755626,3.0,296.0,0.064,297.0,0.082,298.0,0.042,,
168,"set101__D-Glucose carbon source with cis,cis-muconate stress",0.06,0.04036087214122113,3.0,299.0,0.027,300.0,0.048,301.0,0.105,,
169,set101__Ferulic acid carbon source,0.02,0.05339475629684997,3.0,302.0,0.006,303.0,0.079,304.0,-0.025,,
170,set101__p-Coumaric acid carbon source,0.07733333333333332,0.033946035605550956,3.0,305.0,0.071,306.0,0.114,307.0,0.047,,
171,set101__10 mM vanillate carbon source,0.014666666666666668,0.04361574639202376,3.0,308.0,0.065,309.0,-0.012,310.0,-0.009,,
172,set101__10 mM 4-acetoxyvanillate carbon source,0.03166666666666667,0.04821134029803915,3.0,311.0,0.059,312.0,-0.024,313.0,0.06,,
173,set101__10 mM 4-hydroxybenzoate carbon source,0.04133333333333334,0.026025628394590848,3.0,314.0,0.068,315.0,0.04,316.0,0.016,,
174,set101__10 mM 4-acetoxybenzoate carbon source,0.027333333333333334,0.018717193521821947,3.0,317.0,0.006,318.0,0.035,319.0,0.041,,
175,set101__15 mM beta-hydroxyisobutanoate carbon source,0.025333333333333333,0.005033222956847165,3.0,320.0,0.026,321.0,0.03,322.0,0.02,,
176,set101__15 mM 3-methyl-2-oxobutanoate carbon source,0.046000000000000006,0.051565492337414955,3.0,323.0,0.096,324.0,-0.007,325.0,0.049,,
177,set101__D-Glucose carbon source with ??-ketoadipate stress,0.043333333333333335,0.060069404303133664,3.0,326.0,0.04,327.0,0.105,328.0,-0.015,,
178,set101__D-Glucose carbon source with levulinic acid stress,0.024333333333333332,0.033842773723992144,3.0,329.0,0.033,330.0,0.053,331.0,-0.013,,
