,-0.31708728537713415,-0.26423940448094513,-0.2113915235847561,-0.15854364268856708,-0.10569576179237805,-0.052847880896189026,0.0,0.052847880896189026,0.10569576179237805,0.15854364268856708,0.2113915235847561,0.2642394044809452,0.31708728537713415,0.3699351662733231,0.4227830471695122,0.4756309280657013,0.5284788089618903,0.5813266898580792,0.6341745707542683,0.6870224516504574
thresh,-0.34351122582522864,0.34351122582522864,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,86,4573,69,2,0,0,0,0,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['proI'],[],[]
