,-0.10074190902133379,-0.07835481812770406,-0.05596772723407434,-0.033580636340444614,-0.01119354544681489,0.011193545446814834,0.03358063634044456,0.05596772723407428,0.078354818127704,0.10074190902133373,0.12312899991496346,0.14551609080859318,0.1679031817022229,0.19029027259585263,0.21267736348948235,0.23506445438311208,0.2574515452767418,0.2798386361703715,0.30222572706400125,0.324612817957631
thresh,-0.11193545446814865,0.11193545446814865,2,,,,,,,,,,,,,,,,,
unreg,0,1,9,99,2486,2030,71,20,2,1,2,0,1,0,0,1,0,3,0,0
BirA,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['atoB' 'atoA'],[],['bioA'],[],[],['ivd'],[],['mccB' 'liuC' 'mccA'],[],[]
BirA_genes,[],[],[],[],['PP_0361'],[],[],[],[],[],[],['bioC' 'bioH'],['bioF' 'bioB' 'bioD'],[],[],[],[],[],[],[]
