,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.392,0.5275016587651644,2.0,0.0,-0.019,1.0,-0.765,,,,
1,set1__Glucose carbon source (20mM),-0.153,0.15980613254815976,2.0,2.0,-0.04,3.0,-0.266,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.14500000000000002,0.03676955262170049,2.0,4.0,-0.119,5.0,-0.171,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.24200000000000002,0.30547012947258856,2.0,6.0,0.026,7.0,0.458,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.018500000000000003,0.11101576464628796,2.0,8.0,-0.06,9.0,0.097,,,,
5,set5__D-Glucose carbon source,-0.0295,0.6342747827243331,2.0,10.0,-0.478,11.0,0.419,,,,
6,set5__Levulinic Acid carbon source,0.1845,0.19373607476839894,4.0,12.0,0.007,13.0,0.063,14.0,0.23,15.0,0.438
7,set5__Vanillin carbon source,0.46,0.08909545442950499,2.0,16.0,0.397,17.0,0.523,,,,
8,set5__p-Coumaric acid carbon source,0.253,0.431335136523794,2.0,18.0,-0.052,19.0,0.558,,,,
9,set6__D-Glucose carbon source,0.314,,1.0,20.0,0.314,,,,,,
10,set6__Ferulic Acid carbon source,0.058,,1.0,21.0,0.058,,,,,,
11,set6__benzoic acid carbon source,0.387,,1.0,22.0,0.387,,,,,,
12,set6__Valerolactam carbon source,0.108,,1.0,23.0,0.108,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.033,,1.0,24.0,0.033,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.203,,1.0,25.0,0.203,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.1135,0.10394469683442249,2.0,26.0,0.04,30.0,0.187,,,,
16,set7__Valerolactam 10 mM carbon source,0.186,,1.0,27.0,0.186,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.189,,1.0,28.0,0.189,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.449,0.44264884502277874,2.0,29.0,-0.136,31.0,-0.762,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.325,,1.0,32.0,0.325,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.089,,1.0,33.0,-0.089,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.122,,1.0,34.0,0.122,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.1255,0.026162950903902252,2.0,35.0,0.144,47.0,0.107,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.27249999999999996,0.19728279195104675,2.0,36.0,0.412,49.0,0.133,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.616,,1.0,37.0,-0.616,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.407,,1.0,38.0,-0.407,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.036,,1.0,39.0,-0.036,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.203,,1.0,40.0,-0.203,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.13,,1.0,41.0,0.13,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.098,,1.0,42.0,-0.098,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",0.237,,1.0,43.0,0.237,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.327,,1.0,44.0,0.327,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.025,,1.0,45.0,0.025,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.525,,1.0,46.0,0.525,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.441,,1.0,48.0,0.441,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.035,,1.0,50.0,0.035,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.158,,1.0,51.0,0.158,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.901,,1.0,52.0,-0.901,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-0.215,,1.0,53.0,-0.215,,,,,,
39,set10__L-Arginine carbon source,-0.574,,1.0,54.0,-0.574,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.237,,1.0,55.0,-0.237,,,,,,
41,set10__L-Histidine carbon source,0.169,,1.0,56.0,0.169,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,-0.26,,1.0,57.0,-0.26,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.454,,1.0,58.0,-0.454,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,-0.116,,1.0,59.0,-0.116,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-0.01,,1.0,60.0,-0.01,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,-0.186,,1.0,61.0,-0.186,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,0.112,,1.0,62.0,0.112,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,-0.238,,1.0,63.0,-0.238,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,-0.109,,1.0,64.0,-0.109,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,-0.173,,1.0,65.0,-0.173,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,-0.08,,1.0,66.0,-0.08,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-0.266,,1.0,67.0,-0.266,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,0.01,,1.0,68.0,0.01,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,0.18,,1.0,69.0,0.18,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,-0.082,,1.0,70.0,-0.082,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,-0.678,,1.0,71.0,-0.678,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,-0.444,,1.0,72.0,-0.444,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,-0.066,,1.0,73.0,-0.066,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,-0.198,,1.0,74.0,-0.198,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-0.441,,1.0,75.0,-0.441,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,-0.097,,1.0,76.0,-0.097,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-0.004,,1.0,77.0,-0.004,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,-0.017,,1.0,78.0,-0.017,,,,,,
64,set10__Sodium butyrate carbon source,-0.287,,1.0,79.0,-0.287,,,,,,
65,set12__Vanillin carbon source,0.0965,0.17041273426595793,2.0,80.0,-0.024,97.0,0.217,,,,
66,"set12__1,2-Propanediol carbon source",-0.0315,0.028991378028648446,2.0,81.0,-0.011,98.0,-0.052,,,,
67,set12__Sodium propionate carbon source,0.006499999999999999,0.12232947314527272,2.0,82.0,0.093,99.0,-0.08,,,,
68,set12__2-methyl-1-butanol carbon source,0.127,0.21071782079359117,2.0,83.0,0.276,100.0,-0.022,,,,
69,"set12__1,5-Pentanediol carbon source",0.218,0.04949747468305833,2.0,84.0,0.253,101.0,0.183,,,,
70,"set12__1,4-Butanediol carbon source",0.11399999999999999,0.04808326112068523,2.0,85.0,0.08,102.0,0.148,,,,
71,set12__Vanillic Acid carbon source,0.1315,0.19869700551341987,2.0,86.0,0.272,103.0,-0.009,,,,
72,set12__Protocatechuic Acid carbon source,-0.345,0.32385490578343873,2.0,87.0,-0.574,89.0,-0.116,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,-0.036500000000000005,0.2651650429449553,2.0,88.0,-0.224,104.0,0.151,,,,
74,set12__L-Lysine carbon source,0.020000000000000004,0.27860007178749974,2.0,90.0,0.217,105.0,-0.177,,,,
75,set12__p-Coumaric acid carbon source,-0.1205,0.010606601717798213,2.0,91.0,-0.128,106.0,-0.113,,,,
76,set12__benzoic acid carbon source,0.239,0.2559726547895302,2.0,92.0,0.058,107.0,0.42,,,,
77,set12__Ferulic Acid carbon source,0.037,0.07778174593052023,2.0,93.0,0.092,108.0,-0.018,,,,
78,set12__D-Glucose carbon source,0.21250000000000002,0.014849242404917492,2.0,94.0,0.223,109.0,0.202,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,0.1805,0.11384419177103415,2.0,95.0,0.261,110.0,0.1,,,,
80,set12__Phenylacetic acid carbon source,0.08349999999999999,0.14212846301849605,2.0,96.0,0.184,111.0,-0.017,,,,
81,set15__Butyl stearate carbon source,-0.024500000000000008,0.3514320702497141,2.0,112.0,-0.273,124.0,0.224,,,,
82,set15__Hexanoic acid carbon source,-0.2515,0.08555992052357225,2.0,113.0,-0.191,125.0,-0.312,,,,
83,set15__Decanoic acid carbon source,0.4545,0.3075914498161482,2.0,114.0,0.237,126.0,0.672,,,,
84,set15__Lauric acid carbon source,-0.1795,0.16334166645409245,2.0,115.0,-0.295,127.0,-0.064,,,,
