,A,HutC
R2,,0.18070804543277785
xmin,,-5.194
xmid,,-1.7529905341547045
xmax,,4.643
ystart,,3.1271309488442025
yend,,20.486039135826804
set1IT078,12.310382604360136,0.769
set1IT079,11.938421327011584,1.006
set1IT080,11.42579870420471,0.828
set1IT081,12.332786892443934,1.143
set1IT082,9.61545584816646,1.162
set1IT083,8.516124133855847,0.988
set1IT084,10.8331019689587,2.409
set1IT085,9.183414828982238,1.971
set1IT086,8.779870999204316,0.798
set1IT087,8.119423920380177,1.404
set5IT075,12.550982485680995,0.305
set5IT076,12.44650029154186,0.545
set5IT081,13.28805467139338,1.237
set5IT082,10.13477580251852,0.795
set5IT083,11.998086438006895,0.62
set5IT084,11.999823548222713,0.728
set5IT085,12.842938043557345,1.035
set5IT086,13.273922132160068,1.005
set5IT087,12.554239549240531,1.217
set5IT088,12.563018873468769,1.048
set6IT057,7.61500915573364,0.406
set6IT059,7.452304469201499,0.605
set6IT061,6.889297582908625,0.109
set6IT064,6.435550042059137,0.617
set6IT065,8.17935114417138,0.394
set7IT042,7.997304220037806,0.329
set7IT044,7.752890881158541,0.551
set7IT045,6.504631337457138,0.575
set7IT055,9.574141289660735,0.835
set7IT056,7.2557512712796015,0.877
set7IT057,8.861991207884587,0.717
set7IT062,10.319164092526927,0.938
set8IT058,5.280896579313212,-0.066
set8IT059,9.551174998479194,0.132
set8IT060,7.436052189869866,0.386
set8IT062,8.927579278981023,0.946
set8IT064,8.272025090776829,-0.088
set8IT070,7.575509277151453,-0.057
set8IT073,5.827163172700995,-0.035
set8IT080,6.391659698778959,0.158
set8IT081,8.628669865363856,0.124
set8IT082,5.417913304138868,-0.224
set8IT084,8.410657733262802,-0.015
set8IT085,7.017387411681267,0.306
set8IT089,8.447900096966551,0.625
set8IT090,10.975509252783224,0.763
set8IT092,6.953181519499362,0.817
set8IT093,7.426789762551874,1.041
set8IT094,7.473115433231627,0.956
set8IT095,7.23797707571261,0.948
set8IT096,8.330437074883848,1.653
set9IT020,-3.0073895865642077,0.361
set9IT022,-3.327308108322245,0.104
set9IT025,-6.1828796984574375,-0.144
set10IT006,7.600954283082067,0.705
set10IT008,8.166920288470573,1.143
set10IT010,-8.034680381328132,-1.753
set10IT017,0.1867020710068176,0.068
set10IT018,1.7349802432218804,-0.075
set10IT019,1.0896204621153578,0.028
set10IT020,1.3874143319441756,-0.026
set10IT021,-0.3176814519125251,0.299
set10IT022,0.3024185243747674,-0.033
set10IT023,1.2472092845710798,0.053
set10IT024,1.7699762465946782,-0.044
set10IT025,11.592659817008592,-0.0
set10IT026,1.072868650384645,-0.169
set10IT027,0.7609670167733732,0.115
set10IT028,1.0493918852303086,0.118
set10IT029,0.4454867754879816,-0.198
set10IT031,1.156693985009264,-0.029
set10IT032,1.8673707095290584,0.179
set10IT033,-0.8470642292863317,0.533
set10IT034,1.2457016360882154,-0.018
set10IT035,1.0283563984348845,0.16
set10IT036,1.8212852867055989,0.12
set10IT037,0.9918349657206916,0.258
set10IT043,6.997133334777866,0.419
set10IT044,5.4740937872016255,0.296
set10IT053,6.441693613715945,0.782
set12IT001,13.201131461277065,0.818
set12IT002,11.994312842938392,0.602
set12IT004,12.760160586065297,0.712
set12IT007,9.706951847405294,1.156
set12IT008,10.243543741337533,0.285
set12IT009,10.777243937901964,1.115
set12IT014,12.040126957108765,0.913
set12IT015,11.674444375530877,1.081
set12IT016,13.74358855171279,1.036
set12IT017,13.8115748995184,1.691
set12IT023,11.555469356300213,1.28
set12IT024,13.187966844430424,1.148
set12IT025,13.900352771578266,1.415
set12IT026,12.98166358481043,1.117
set12IT027,12.521737419215674,0.601
set12IT028,11.230812759546929,1.053
set12IT029,13.577386354955928,2.779
set12IT031,12.82443514663069,1.055
set12IT032,13.22600618648614,0.622
set12IT034,11.930860791043129,1.182
set12IT037,9.238784088410252,1.059
set12IT038,10.620075907552378,0.58
set12IT039,12.316075447333482,1.532
set12IT044,12.853806630945178,1.271
set12IT046,12.983931451274632,1.005
set12IT053,13.1063786458284,0.951
set12IT054,12.55227335747451,1.168
set12IT055,13.512759273003748,0.72
set12IT056,13.679484573678042,1.62
set12IT057,12.210050488696597,0.615
set12IT058,11.701772106699584,0.829
set12IT059,14.000205292280793,1.656
set15IT054,4.540393937797597,0.388
set15IT057,9.745422354957348,1.046
set15IT058,11.490129899243309,1.366
set15IT059,11.566832639669729,0.892
set15IT060,8.446261906568374,1.011
set15IT061,11.107046370715508,1.37
set15IT062,11.37638334422389,0.775
set15IT063,8.953826652791554,0.953
set15IT064,12.307502975376364,1.36
set15IT065,8.864136594103902,1.045
set15IT066,12.36809420681182,0.949
set15IT067,10.92532866543802,1.216
set15IT068,8.29872412958134,0.76
set15IT071,9.868473393881608,0.456
set15IT072,11.629417782726286,0.75
set15IT073,10.342306146655224,0.757
set15IT074,10.368224506245951,0.656
set15IT075,9.827249125337078,1.481
set15IT076,11.965389206666226,1.147
set15IT077,8.137965315548762,1.72
set15IT078,10.714302090922676,1.234
set15IT079,8.777594611183686,1.538
set15IT080,11.282677661711698,0.694
set15IT081,11.370237348004515,1.222
set16IT004,11.336533109218903,1.082
set16IT005,10.784017457288009,0.933
set16IT006,11.664676809571848,0.811
set16IT007,9.25911815515833,0.672
set16IT008,10.207099060814253,0.596
set16IT009,10.680733905856837,0.637
set16IT010,8.935902374527581,2.47
set16IT011,11.970776078072722,4.643
set16IT012,9.950506500595525,1.418
set16IT013,8.904539287680928,1.298
set16IT014,9.545475097468495,0.55
set16IT015,9.366545639832928,0.835
set27IT004,12.175195191113762,0.443
set27IT005,11.869139146865814,0.551
set27IT006,3.133197114406678,0.119
set27IT007,2.9690299031216334,-0.109
set27IT008,11.676171014263748,0.436
set27IT009,11.319776649068968,0.573
set27IT010,12.688355216590136,0.479
set27IT011,12.308062913793751,0.556
set27IT012,12.257548631141006,0.217
set27IT013,11.79759325221236,0.175
set27IT014,13.02774399725469,0.512
set27IT015,11.257490459462458,0.492
set27IT016,11.717555291201563,0.45
set27IT017,11.742050486178364,0.546
set27IT018,12.89526552612545,0.502
set27IT019,12.055210117027196,0.419
set27IT020,7.341140043535659,0.285
set27IT021,7.233124475036821,0.286
set27IT024,3.805952090399797,0.123
set27IT025,3.1760422480018127,-0.053
set27IT028,9.293695028678393,0.149
set27IT029,9.564424866035012,0.259
set27IT030,8.381362393678025,0.539
set27IT031,8.650783228261071,0.481
set27IT032,13.73459620767833,0.568
set27IT033,13.092234220759838,0.503
set27IT034,11.28145467349542,0.601
set27IT035,11.234849823675528,0.529
set27IT036,11.022734664808793,0.808
set27IT037,12.173542210224369,0.556
set27IT038,8.580774382881796,0.5
set27IT039,8.955095677948162,0.591
set27IT040,12.673568239849876,0.391
set27IT041,13.989904270770156,0.468
set27IT042,12.490359877920175,0.501
set27IT043,12.304612908614668,0.748
set27IT044,10.6565855167653,0.529
set27IT045,11.60609135042023,0.171
set27IT046,12.763755234082296,0.068
set27IT047,12.66494736004897,0.004
set27IT048,2.6172932683046004,0.196
set27IT049,2.193459944067058,0.296
set27IT050,14.030501600562276,0.854
set27IT051,13.61353806145727,0.652
set27IT052,11.831273756162044,0.479
set27IT053,10.98243745383392,0.32
set27IT054,12.118163331933868,0.375
set27IT055,12.032446422903782,0.507
set27IT056,13.20303984914173,0.396
set27IT057,12.544386972197625,0.426
set27IT058,4.859599633317726,0.403
set27IT059,6.019203699064008,0.207
set27IT060,10.899131907316974,0.747
set27IT061,10.854901585215089,0.997
set27IT062,-2.219296196500313,-0.235
set27IT063,-2.984830878284147,-0.3
set27IT064,8.861986887342782,0.27
set27IT065,8.485942723502545,0.194
set27IT066,10.136549974743827,0.627
set27IT067,10.719679809896508,0.881
set27IT068,7.371802251104214,0.335
set27IT069,4.6004661537227545,0.723
set27IT070,7.898320750048134,-5.194
set27IT071,8.423779171414457,-5.142
set27IT072,12.136266941789591,-0.489
set27IT073,12.054116403110624,-0.643
set28IT003,10.052222218180823,0.481
set28IT004,10.971063502652488,0.626
set28IT005,9.405781890773747,0.652
set28IT006,9.538874959570798,0.582
set28IT007,8.210299517532967,0.578
set28IT008,8.088431495107944,0.494
set28IT009,9.7524911874966,0.63
set28IT010,9.829155964579142,0.4
set28IT013,8.883923679042061,0.398
set28IT014,7.69730441302425,0.249
set28IT017,10.097986613393168,0.19
set28IT018,8.745296117745415,0.254
set28IT021,10.156582792076025,0.158
set28IT022,10.34290959388516,0.522
set28IT023,11.226368427125037,0.424
set28IT024,9.23493210393637,0.265
set28IT027,11.00458570580891,1.333
set28IT028,10.246013855932212,1.752
set28IT029,9.78052230892832,0.652
set28IT030,9.74339768495216,0.787
set28IT031,10.532051091453916,0.344
set28IT032,11.520144186196784,0.466
set28IT035,9.880454090081932,0.269
set28IT036,10.512017506262817,0.241
set28IT037,8.66618403126265,0.116
set28IT038,8.738846543871048,0.296
set28IT039,9.528331123398834,0.507
set28IT040,9.00937264311372,0.413
set28IT041,10.267815182953546,0.398
set28IT042,9.329675341905329,0.291
set28IT045,10.876567811452473,0.461
set28IT046,9.008687091469389,0.475
set29IT004,10.624673799139618,3.316
set29IT005,12.346424220834487,1.671
set29IT006,11.791297819035782,0.626
set29IT007,12.451504825986484,0.737
set29IT014,10.05990243845434,0.738
set29IT015,11.179854443444212,1.137
set29IT057,11.957258528205845,0.917
set29IT058,11.956534117784544,1.192
set100IT008,9.305258715508774,0.345
set100IT009,11.59858652761956,0.399
set100IT010,10.157841068789482,0.514
set100IT011,9.605398569799595,0.31
set100IT012,11.009617195783845,0.623
set100IT013,9.71798560133751,0.259
set100IT014,11.315641642786538,0.275
set100IT015,12.148211294788098,0.551
set100IT016,12.362460034914548,0.648
set100IT017,12.002965836298191,0.237
set100IT018,15.23092978157564,0.391
set100IT019,12.576786068448913,0.39
set100IT020,10.463989575027275,0.73
set100IT021,11.861374460727076,0.647
set100IT022,9.688532416280324,0.865
set100IT023,11.19496496713665,0.483
set100IT024,12.587105592132277,0.4
set100IT025,10.24535335730512,0.498
set100IT026,10.23990489915856,0.99
set100IT027,12.03325252296048,1.065
set100IT028,11.595634004044548,1.116
set100IT029,11.688791426137684,0.772
set100IT030,11.94959991282153,0.605
set100IT031,11.885393668511965,0.691
set100IT032,11.071456230318548,0.668
set100IT033,13.217806550698633,0.777
set100IT034,10.980934360448355,0.625
set100IT035,11.291575933657985,0.615
set100IT036,12.63814333990073,0.831
set100IT037,12.90767917818285,0.879
set100IT038,8.656637100563593,0.18
set100IT039,15.0822030919708,0.229
set100IT040,10.999054717234769,0.446
set100IT041,10.789046227043876,0.707
set100IT042,13.049240309916016,0.844
set100IT043,11.499667278582594,0.589
set100IT044,11.019035407361928,0.56
set100IT045,12.383086597440515,0.537
set100IT046,10.639491232311917,0.345
set101IT007,9.978032480876076,0.238
set101IT008,10.299425601283108,0.323
set101IT009,10.77795174560476,0.36
set101IT013,13.212785751175698,1.282
set101IT014,13.55026808976979,1.136
set101IT015,11.188890455722628,1.222
set101IT016,12.826144628844192,0.737
set101IT017,11.649952034993136,0.577
set101IT018,10.064936108643463,0.485
set101IT019,10.76124637397078,0.755
set101IT020,10.882341149671545,0.706
set101IT021,11.003362328545975,0.901
set101IT022,11.186287303714778,0.877
set101IT023,11.053652985673574,0.896
set101IT024,10.389762565912688,0.583
set101IT025,11.389440675898385,0.637
set101IT026,10.0350786024702,0.528
set101IT027,10.341352332174448,0.638
set101IT028,10.544149393672278,0.517
set101IT029,9.2409225289718,0.761
set101IT030,9.319873791289638,0.731
set101IT031,11.523296881585187,0.668
set101IT032,10.778146310919258,0.676
set101IT033,10.700802287672484,0.659
set101IT034,10.156644696572428,0.806
set101IT035,8.383421472605791,0.506
set101IT036,9.412691442032754,0.72
set101IT037,9.42172056708394,0.753
set101IT038,10.54736915404651,0.791
set101IT039,10.2923981107847,0.811
set101IT040,10.779579127761783,0.799
set101IT041,11.032624602244566,1.065
set101IT042,10.827386823782833,1.138
set101IT043,10.952531850737367,0.307
set101IT044,11.337684130689016,0.496
set101IT045,10.629934240083148,0.249
set101IT046,11.563498057027251,0.914
set101IT047,11.786431442757287,0.463
set101IT048,11.842073354546502,0.902
