,-0.14854711370379506,-0.12997872449082068,-0.1114103352778463,-0.09284194606487192,-0.07427355685189754,-0.055705167638923164,-0.037136778425948785,-0.018568389212974407,-2.7755575615628914e-17,0.01856838921297435,0.03713677842594873,0.05570516763892311,0.07427355685189749,0.09284194606487187,0.11141033527784625,0.12997872449082062,0.148547113703795,0.16711550291676938,0.18568389212974376,0.20425228134271814
thresh,-0.15783130831028225,0.15783130831028225,1,,,,,,,,,,,,,,,,,
unreg,1,2,2,6,7,19,54,467,3631,446,48,26,10,4,4,2,1,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['tesB' 'PP_2795'],[],[]
