,-0.16775087596212424,-0.1437864651103922,-0.11982205425866016,-0.09585764340692812,-0.07189323255519608,-0.04792882170346405,-0.02396441085173201,2.7755575615628914e-17,0.023964410851732065,0.0479288217034641,0.07189323255519614,0.09585764340692815,0.11982205425866022,0.14378646511039228,0.1677508759621243,0.1917152868138563,0.21567969766558837,0.23964410851732043,0.26360851936905244,0.28757293022078445
thresh,-0.17973308138799024,0.17973308138799024,1,,,,,,,,,,,,,,,,,
unreg,0,0,2,2,6,46,396,3827,399,34,11,3,3,0,0,0,0,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['acsA-I' 'PP_1695'],['PP_1635'],[]
