,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,set1__Glucose carbon source (40mM),0.11848134221633858,0.6351112137171312,2.0,0.0,-0.3306101038106635,1.0,0.5675727882433407,,,,
1,set1__Glucose carbon source (20mM),1.0808625174272457,0.16865560088999362,2.0,2.0,1.2001200365016522,3.0,0.9616049983528394,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-5.081642718513148,0.3014215007924101,2.0,4.0,-5.294779905718888,5.0,-4.868505531307409,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-13.264712567681341,0.04787646904441127,2.0,6.0,-13.23085879176077,7.0,-13.298566343601912,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-10.655037784764957,1.230864587737489,2.0,8.0,-9.784685088053395,9.0,-11.52539048147652,,,,
5,set5__D-Glucose carbon source,2.165083237763765,0.16294084229651734,2.0,10.0,2.04986666324365,11.0,2.2802998122838805,,,,
6,set5__Levulinic Acid carbon source,-1.7053243128998916,0.6880729815759371,4.0,12.0,-2.6996114061638945,13.0,-1.1970484250255762,14.0,-1.6285694786490277,15.0,-1.2960679417610683
7,set5__Vanillin carbon source,0.9007616310725113,0.05341105909198171,2.0,16.0,0.8629943089982156,17.0,0.938528953146807,,,,
8,set5__p-Coumaric acid carbon source,0.03837768739409205,0.10338693469204754,2.0,18.0,0.1114832900009296,19.0,-0.0347279152127455,,,,
9,set6__D-Glucose carbon source,0.5010493811889601,,1.0,20.0,0.5010493811889601,,,,,,
10,set6__Ferulic Acid carbon source,-0.1151443148824366,,1.0,21.0,-0.1151443148824366,,,,,,
11,set6__benzoic acid carbon source,0.635356164955741,,1.0,22.0,0.635356164955741,,,,,,
12,set6__Valerolactam carbon source,-0.101108036755415,,1.0,23.0,-0.101108036755415,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.5303465113478866,,1.0,24.0,0.5303465113478866,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.2515793954718816,,1.0,25.0,0.2515793954718816,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.955355316339941,0.8175623691140188,2.0,26.0,-0.377251421096479,30.0,-1.533459211583403,,,,
16,set7__Valerolactam 10 mM carbon source,-0.5874812042643951,,1.0,27.0,-0.5874812042643951,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.7519198862440547,,1.0,28.0,0.7519198862440547,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.5997381173255154,0.5505463580269624,2.0,29.0,0.2104430542070934,31.0,0.9890331804439374,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.1033602806092703,,1.0,32.0,0.1033602806092703,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-1.0453671038983263,,1.0,33.0,-1.0453671038983263,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.7795183692650329,,1.0,34.0,-0.7795183692650329,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-1.2635914771027745,0.4418251163135075,2.0,35.0,-0.9511739412589584,47.0,-1.576009012946591,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.6140452710593488,0.05695934006450848,2.0,36.0,-0.5737689354478243,49.0,-0.6543216066708734,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.3513523450522471,,1.0,37.0,-0.3513523450522471,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-1.161473919505369,,1.0,38.0,-1.161473919505369,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.2950176937246599,,1.0,39.0,-0.2950176937246599,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.3574771700369283,,1.0,40.0,-0.3574771700369283,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-1.3226248192602923,,1.0,41.0,-1.3226248192602923,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.6757830796758043,,1.0,42.0,-0.6757830796758043,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.7036258886401346,,1.0,43.0,-0.7036258886401346,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.956991878881698,,1.0,44.0,-0.956991878881698,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.5225693086820117,,1.0,45.0,-0.5225693086820117,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-1.6844052262197784,,1.0,46.0,-1.6844052262197784,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-2.388607159438522,,1.0,48.0,-2.388607159438522,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-2.9040700355083824,,1.0,50.0,-2.9040700355083824,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.2353360741127101,,1.0,51.0,-0.2353360741127101,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.529190692278453,,1.0,52.0,-0.529190692278453,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,-0.96828542737255,,1.0,53.0,-0.96828542737255,,,,,,
39,set10__L-Arginine carbon source,0.7496094865589132,,1.0,54.0,0.7496094865589132,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,0.08987049168061,,1.0,55.0,0.08987049168061,,,,,,
41,set10__L-Histidine carbon source,0.1176524352846444,,1.0,56.0,0.1176524352846444,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,0.2106034557527697,,1.0,57.0,0.2106034557527697,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,1.7388332262152812,,1.0,58.0,1.7388332262152812,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,0.4468854058126947,,1.0,59.0,0.4468854058126947,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,0.7109698865298149,,1.0,60.0,0.7109698865298149,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,0.5576331238759581,,1.0,61.0,0.5576331238759581,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,0.7621960926154479,,1.0,62.0,0.7621960926154479,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,0.477350533132183,,1.0,63.0,0.477350533132183,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,0.1398536374309288,,1.0,64.0,0.1398536374309288,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,0.7752247106922933,,1.0,65.0,0.7752247106922933,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,0.4601619731603751,,1.0,66.0,0.4601619731603751,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,0.6877268373241608,,1.0,67.0,0.6877268373241608,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,0.5804980419982312,,1.0,68.0,0.5804980419982312,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,1.6085047229905476,,1.0,69.0,1.6085047229905476,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,1.051198446568349,,1.0,70.0,1.051198446568349,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,0.8198712211288189,,1.0,71.0,0.8198712211288189,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,0.1061389645747595,,1.0,72.0,0.1061389645747595,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,0.7405236589374935,,1.0,73.0,0.7405236589374935,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,0.2377461970563752,,1.0,74.0,0.2377461970563752,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,0.2651542313318196,,1.0,75.0,0.2651542313318196,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,0.9539251134123392,,1.0,76.0,0.9539251134123392,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,0.7362208073726905,,1.0,77.0,0.7362208073726905,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.6026569842207438,,1.0,78.0,0.6026569842207438,,,,,,
64,set10__Sodium butyrate carbon source,-1.5227855159936865,,1.0,79.0,-1.5227855159936865,,,,,,
65,set12__Vanillin carbon source,-0.4754628469547086,0.5376901946283925,2.0,80.0,-0.0952584641554577,97.0,-0.8556672297539595,,,,
66,"set12__1,2-Propanediol carbon source",-0.00040366701876809463,0.825005734907486,2.0,81.0,-0.5837708166896427,98.0,0.5829634826521065,,,,
67,set12__Sodium propionate carbon source,-3.4200399012865237,1.7127059493418066,2.0,82.0,-2.2089739103283885,99.0,-4.631105892244658,,,,
68,set12__2-methyl-1-butanol carbon source,-1.356174896726127,0.15715732486166334,2.0,83.0,-1.4673019068489463,100.0,-1.2450478866033077,,,,
69,"set12__1,5-Pentanediol carbon source",-0.4030608938380722,0.2736628674144823,2.0,84.0,-0.5965697631458077,101.0,-0.2095520245303367,,,,
70,"set12__1,4-Butanediol carbon source",0.1575155830674055,0.5474978210461758,2.0,85.0,0.5446550050140153,102.0,-0.2296238388792043,,,,
71,set12__Vanillic Acid carbon source,-0.13830142786121696,0.5672775151115754,2.0,86.0,-0.5394272056112661,103.0,0.2628243498888322,,,,
72,set12__Protocatechuic Acid carbon source,0.42940770022994534,0.014033512297167946,2.0,87.0,0.4194845085207531,89.0,0.4393308919391376,,,,
73,set12__4-Hydroxybenzoic Acid carbon source,0.0769332944017088,0.358923581726839,2.0,88.0,0.3307305929685207,104.0,-0.1768640041651031,,,,
74,set12__L-Lysine carbon source,0.9461004757997445,0.8227965873980722,2.0,90.0,1.5279055222860711,105.0,0.3642954293134179,,,,
75,set12__p-Coumaric acid carbon source,-1.15685360239961,0.6241742090139387,2.0,91.0,-0.7154957865641045,106.0,-1.5982114182351157,,,,
76,set12__benzoic acid carbon source,0.014232567584859898,0.34357266775843004,2.0,92.0,-0.2287099956174787,107.0,0.2571751307871985,,,,
77,set12__Ferulic Acid carbon source,-0.34109840164433924,0.23106900270528116,2.0,93.0,-0.5044888603792562,108.0,-0.1777079429094222,,,,
78,set12__D-Glucose carbon source,1.0967554515805833,0.5130769855803482,2.0,94.0,1.4595556673552,109.0,0.7339552358059666,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,1.6920042484783944,0.02221234424795814,2.0,95.0,1.6762977492346132,110.0,1.7077107477221756,,,,
80,set12__Phenylacetic acid carbon source,-1.482588478131516,0.11426761772643886,2.0,96.0,-1.4017890707671188,111.0,-1.563387885495913,,,,
81,set15__Butyl stearate carbon source,-0.34983325798771764,1.062673591594809,2.0,112.0,0.4015904448168356,124.0,-1.1012569607922709,,,,
82,set15__Hexanoic acid carbon source,-0.3714542227081502,0.9227319844346168,2.0,113.0,-1.0239242661195875,125.0,0.2810158207032872,,,,
83,set15__Decanoic acid carbon source,1.2365010553440117,0.3319463741521246,2.0,114.0,1.0017795231907574,126.0,1.4712225874972658,,,,
84,set15__Lauric acid carbon source,0.9946732745228117,0.17452813061440897,2.0,115.0,0.8712632498575517,127.0,1.1180832991880718,,,,
85,set15__Valeric acid carbon source,-1.1846528040767934,0.53688825061884,2.0,116.0,-0.8050154813248289,128.0,-1.5642901268287577,,,,
86,set15__Octanoic acid carbon source,1.0250778887677816,1.2822476302937835,2.0,117.0,1.931763883308897,129.0,0.1183918942266661,,,,
87,set15__Nonanoic acid carbon source,0.43148455831200605,0.2880368436763826,2.0,118.0,0.2278117529168664,130.0,0.6351573637071457,,,,
88,set15__Tween 20 carbon source,1.7990310568871783,0.2661185144140043,2.0,119.0,1.9872052630286108,131.0,1.610856850745746,,,,
89,set15__Myristic acid carbon source,0.22442493748002096,0.0420049118338041,2.0,120.0,0.194722979479195,132.0,0.2541268954808469,,,,
90,set15__Sodium butyrate carbon source,-2.031235547579831,0.7529949082921278,2.0,121.0,-1.498787741727525,133.0,-2.563683353432137,,,,
91,set15__Oleic acid carbon source,0.9256745392469837,0.9207943790632163,2.0,122.0,1.5767744887610402,134.0,0.2745745897329272,,,,
92,set15__Heptanoic acid carbon source,0.24952770369178362,0.2530365510903372,2.0,123.0,0.4284515648558173,135.0,0.0706038425277499,,,,
