,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.1405,0.00777817459305201,2.0,0.0,0.146,1.0,0.135,,,,
1,set1__Glucose carbon source (20mM),0.5485,0.19869700551341982,2.0,2.0,0.408,3.0,0.689,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.5325,0.1958685783886737,2.0,4.0,0.671,5.0,0.394,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.1915,0.04879036790187178,2.0,6.0,0.226,7.0,0.157,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.0245,0.03181980515339464,2.0,8.0,0.002,9.0,0.047,,,,
5,set5__D-Glucose carbon source,-0.2105,0.0417193000900063,2.0,10.0,-0.24,11.0,-0.181,,,,
6,set5__Levulinic Acid carbon source,-0.27925,0.11350881023074817,4.0,12.0,-0.127,13.0,-0.386,14.0,-0.263,15.0,-0.341
7,set5__Vanillin carbon source,-0.03899999999999999,0.1117228714274745,2.0,16.0,-0.118,17.0,0.04,,,,
8,set5__p-Coumaric acid carbon source,-0.1595,0.4716402230514272,2.0,18.0,0.174,19.0,-0.493,,,,
9,set6__D-Glucose carbon source,0.072,,1.0,20.0,0.072,,,,,,
10,set6__Ferulic Acid carbon source,0.006,,1.0,21.0,0.006,,,,,,
11,set6__benzoic acid carbon source,0.025,,1.0,22.0,0.025,,,,,,
12,set6__Valerolactam carbon source,-0.065,,1.0,23.0,-0.065,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.071,,1.0,24.0,0.071,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.089,,1.0,25.0,0.089,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.2,0.016970562748477136,2.0,26.0,0.188,30.0,0.212,,,,
16,set7__Valerolactam 10 mM carbon source,0.194,,1.0,27.0,0.194,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.275,,1.0,28.0,-0.275,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.2815,0.22415284963613555,2.0,29.0,-0.44,31.0,-0.123,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.071,,1.0,32.0,-0.071,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.132,,1.0,33.0,0.132,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.416,,1.0,34.0,0.416,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.315,0.12303657992645928,2.0,35.0,-0.402,47.0,-0.228,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.17450000000000002,0.22273863607376249,2.0,36.0,0.017,49.0,0.332,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.073,,1.0,37.0,0.073,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,-0.116,,1.0,38.0,-0.116,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.466,,1.0,39.0,-0.466,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.158,,1.0,40.0,-0.158,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.15,,1.0,41.0,-0.15,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.097,,1.0,42.0,-0.097,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.231,,1.0,43.0,-0.231,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.119,,1.0,44.0,-0.119,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.296,,1.0,45.0,0.296,,,,,,
