,PP_t49
set1IT078,0.54
set1IT079,0.819
set1IT080,0.95
set1IT081,0.859
set1IT082,0.999
set1IT083,0.705
set1IT084,0.496
set1IT085,0.73
set1IT086,0.826
set1IT087,0.69
set5IT075,0.129
set5IT076,0.301
set5IT081,-0.422
set5IT082,-0.48
set5IT083,0.286
set5IT084,-0.312
set5IT085,-1.005
set5IT086,-1.646
set5IT087,0.17
set5IT088,0.317
set6IT057,0.5
set6IT059,-0.212
set6IT061,0.289
set6IT064,0.16
set6IT065,0.273
set7IT042,0.34
set7IT044,-0.13
set7IT045,-0.386
set7IT055,-0.588
set7IT056,-0.76
set7IT057,-0.269
set7IT062,-0.53
set8IT058,0.532
set8IT059,0.564
set8IT060,0.557
set8IT062,0.193
set8IT064,0.467
set8IT070,0.285
set8IT073,0.194
set8IT080,0.045
set8IT081,0.221
set8IT082,0.337
set8IT084,0.203
set8IT085,-0.331
set8IT089,0.19
set8IT090,0.262
set8IT092,-0.062
set8IT093,-0.518
set8IT094,-0.072
set8IT095,0.432
set8IT096,-0.211
set9IT020,-0.13
set9IT022,0.083
set9IT025,-0.816
set10IT006,0.208
set10IT008,-0.015
set10IT010,0.831
set10IT017,0.127
set10IT018,0.253
set10IT019,0.139
set10IT020,0.208
set10IT021,0.568
set10IT022,0.181
set10IT023,0.04
set10IT024,0.362
set10IT025,0.113
set10IT026,0.468
set10IT027,-0.124
set10IT028,0.284
set10IT029,-0.09
set10IT031,0.241
set10IT032,0.2
set10IT033,-0.004
set10IT034,0.158
set10IT035,-0.152
set10IT036,0.1
set10IT037,0.1
set10IT043,0.119
set10IT044,0.219
set10IT053,0.041
set12IT001,0.056
set12IT002,0.057
set12IT004,0.317
set12IT007,-0.295
set12IT008,-0.206
set12IT009,-0.103
set12IT014,0.374
set12IT015,0.147
set12IT016,0.138
set12IT017,0.012
set12IT023,-0.061
set12IT024,0.105
set12IT025,-0.145
set12IT026,0.508
set12IT027,0.204
set12IT028,-0.205
set12IT029,-0.084
set12IT031,-0.067
set12IT032,0.023
set12IT034,0.386
set12IT037,-0.718
set12IT038,-0.25
set12IT039,0.162
set12IT044,0.315
set12IT046,0.505
set12IT053,0.191
set12IT054,0.468
set12IT055,-0.33
set12IT056,0.363
set12IT057,0.391
set12IT058,-0.011
set12IT059,-0.094
set15IT054,0.054
set15IT057,0.067
set15IT058,0.409
set15IT059,0.448
set15IT060,0.368
set15IT061,0.517
set15IT062,0.41
set15IT063,-0.305
set15IT064,0.591
set15IT065,0.136
set15IT066,0.271
set15IT067,0.501
set15IT068,0.232
set15IT071,-0.112
set15IT072,0.243
set15IT073,0.296
set15IT074,-0.173
set15IT075,0.39
set15IT076,0.4
set15IT077,-0.041
set15IT078,0.564
set15IT079,0.248
set15IT080,0.345
set15IT081,0.564
set16IT004,0.068
set16IT005,-0.137
set16IT006,0.237
set16IT007,-0.579
