,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.6795,0.1972827919510467,2.0,0.0,0.54,1.0,0.819,,,,
1,set1__Glucose carbon source (20mM),0.9045,0.0643467170879758,2.0,2.0,0.95,3.0,0.859,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.852,0.207889393668845,2.0,4.0,0.999,5.0,0.705,,,,
3,set1__Potassium Acetate Carbon Source (20mM),0.613,0.16546298679765212,2.0,6.0,0.496,7.0,0.73,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.758,0.09616652224137047,2.0,8.0,0.826,9.0,0.69,,,,
5,set5__D-Glucose carbon source,0.215,0.12162236636408616,2.0,10.0,0.129,11.0,0.301,,,,
6,set5__Levulinic Acid carbon source,-0.23199999999999998,0.35229154592940964,4.0,12.0,-0.422,13.0,-0.48,14.0,0.286,15.0,-0.312
7,set5__Vanillin carbon source,-1.3255,0.45325544674057694,2.0,16.0,-1.005,17.0,-1.646,,,,
8,set5__p-Coumaric acid carbon source,0.2435,0.10394469683442248,2.0,18.0,0.17,19.0,0.317,,,,
9,set6__D-Glucose carbon source,0.5,,1.0,20.0,0.5,,,,,,
10,set6__Ferulic Acid carbon source,-0.212,,1.0,21.0,-0.212,,,,,,
11,set6__benzoic acid carbon source,0.289,,1.0,22.0,0.289,,,,,,
12,set6__Valerolactam carbon source,0.16,,1.0,23.0,0.16,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.273,,1.0,24.0,0.273,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.34,,1.0,25.0,0.34,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.1995,0.09828784258493012,2.0,26.0,-0.13,30.0,-0.269,,,,
16,set7__Valerolactam 10 mM carbon source,-0.386,,1.0,27.0,-0.386,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.588,,1.0,28.0,-0.588,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.645,0.1626345596729059,2.0,29.0,-0.76,31.0,-0.53,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.532,,1.0,32.0,0.532,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.564,,1.0,33.0,0.564,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.557,,1.0,34.0,0.557,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.1625,0.5027529214236354,2.0,35.0,0.193,47.0,-0.518,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.4495,0.024748737341529183,2.0,36.0,0.467,49.0,0.432,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,0.285,,1.0,37.0,0.285,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.194,,1.0,38.0,0.194,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,0.045,,1.0,39.0,0.045,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.221,,1.0,40.0,0.221,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.337,,1.0,41.0,0.337,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.203,,1.0,42.0,0.203,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.331,,1.0,43.0,-0.331,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.19,,1.0,44.0,0.19,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.262,,1.0,45.0,0.262,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.062,,1.0,46.0,-0.062,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.072,,1.0,48.0,-0.072,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.211,,1.0,50.0,-0.211,,,,,,
