k,name,in_iM,gene_weight,regulator,function,category
59,fModule_60,False,0.0163710679188568,,,
58,fModule_59,False,-0.0147006347945797,,,
35,fModule_36,False,0.012107837723585,,,
40,fModule_41,False,-0.0102957700516176,,,
56,fModule_57,False,0.0097794758845084,,,
28,fModule_29,False,0.0091588961400555,,,
22,fModule_23,False,0.009115400409925,,,
72,fModule_73,False,0.008355569669912,RpoD,,
17,fModule_18,False,0.0083459317631181,,,
36,fModule_37,False,-0.0078424991116865,,,
73,fModule_74,False,-0.0075609407639835,,,
83,fModule_84,False,0.0068448668376093,,,
64,fModule_65,False,0.0065142281640149,DctD-II,,
81,fModule_82,False,-0.0064105959755093,,,
3,fModule_4,False,-0.0063007072639206,,,
13,fModule_14,False,-0.006266420885344,PP_3359,,
25,fModule_26,False,-0.0062557914931522,,,
38,fModule_39,False,0.0057391343037212,,,
50,fModule_51,False,0.0055344816648969,,,
53,fModule_54,False,0.0054279430207152,,,
2,fModule_3,False,0.0053715581078882,,,
69,fModule_70,False,-0.0053536409802414,,,
76,fModule_77,False,-0.0052397529308087,PsrA,,
62,fModule_63,False,-0.0050177221992278,,,
4,fModule_5,False,-0.0047004568911047,BenR,,
48,fModule_49,False,-0.0045300791546083,,,
19,fModule_20,False,-0.004465928435195,,,
0,fModule_1,False,0.004377622631696,,,
71,fModule_72,False,0.0043628954973582,,,
16,fModule_17,False,0.0041007457530027,PedR1,,
77,fModule_78,False,-0.004066799697765,,,
21,fModule_22,False,-0.0040195591911225,,,
26,fModule_27,False,-0.0039915618347072,,,
12,fModule_13,False,-0.0039283447083336,ModR,,
11,fModule_12,False,0.0038699559657733,BirA,,
44,fModule_45,False,0.0038047891472791,,,
7,fModule_8,False,0.0038004423223285,GltR-II,,
51,fModule_52,False,0.0037266139080457,FleQ,,
78,fModule_79,False,0.0035878426938289,,,
8,fModule_9,False,0.0034773823795081,,,
60,fModule_61,False,0.0034173281341217,,,
30,fModule_31,False,-0.0034151000562449,,,
37,fModule_38,False,0.0033364626177795,,,
9,fModule_10,False,0.0031692163330706,,,
57,fModule_58,False,0.0031201066716738,PrpR,,
6,fModule_7,False,-0.0030819865750874,GbdR,,
80,fModule_81,False,-0.0030482688053649,,,
41,fModule_42,False,-0.003037012839226,,,
66,fModule_67,False,-0.0030332515329992,,,
18,fModule_19,False,0.0029477519884126,,,
63,fModule_64,False,0.0029240808860847,,,
67,fModule_68,False,-0.0025879704560948,,,
14,fModule_15,False,0.0025816595528094,,,
65,fModule_66,False,0.0025813449684741,,,
33,fModule_34,False,0.0025058156106697,,,
74,fModule_75,False,0.0024599501743881,,,
75,fModule_76,False,0.0024284662092347,,,
5,fModule_6,False,0.0024187078570694,GcsR,,
52,fModule_53,False,0.0024004329269264,PP_5350,,
43,fModule_44,False,-0.0023982211267589,,,
39,fModule_40,False,0.0023376782306269,,,
70,fModule_71,False,-0.0022511833676193,,,
46,fModule_47,False,-0.0022027728097686,,,
49,fModule_50,False,-0.0021505072837247,PP_2046,,
61,fModule_62,False,0.0021443283157749,PP_3603,,
32,fModule_33,False,-0.0020481089075376,BirA,,
54,fModule_55,False,-0.0019090835360907,,,
42,fModule_43,False,-0.0019063559286749,PhhR,,
10,fModule_11,False,0.0018697038356065,PrpR,,
24,fModule_25,False,0.0014314647687697,PrpR,,
23,fModule_24,False,0.001405334076239,,,
27,fModule_28,False,0.0014013177763134,VanR,,
45,fModule_46,False,0.0012441999937539,,,
20,fModule_21,False,-0.0010876148923186,,,
47,fModule_48,False,0.0009760510558185,,,
29,fModule_30,False,0.0009466743557223,HutC,,
79,fModule_80,False,-0.0009391677090974,,,
15,fModule_16,False,-0.0009378611142043,PcaR,,
55,fModule_56,False,0.0008161092168226,PydR,,
68,fModule_69,False,-0.0007408344014629,,,
31,fModule_32,False,0.0005320881963835,,,
82,fModule_83,False,0.000488312516268,,,
34,fModule_35,False,0.0002669977168121,,,
1,fModule_2,False,-8.459889318711282e-05,,,
