,A,PcaR
R2,,0.9391203704869416
xmin,,-7.015
xmid,,-3.733345425333447
xmax,,0.858
ystart,,-17.356725512399287
yend,,3.8196654449806484
set1IT078,0.5108445920400558,-0.142
set1IT079,0.2366903135279942,-0.096
set1IT080,0.6281665263660878,0.021
set1IT081,0.2272378050150598,-0.004
set1IT082,0.056713810496433,0.025
set1IT083,0.3036456079628698,0.106
set1IT084,0.7005911038667346,0.648
set1IT085,0.8318351557615626,0.717
set1IT086,0.3416944977765155,0.282
set1IT087,0.5466946053089035,0.307
set5IT075,0.2735162750501064,-0.073
set5IT076,0.3450361460732724,-0.034
set5IT081,0.1556451935980522,0.113
set5IT082,0.3425506014908785,0.295
set5IT083,-0.2835887085110516,0.123
set5IT084,-0.1299483642141357,0.233
set5IT085,-15.579622413672944,-4.608
set5IT086,-15.80507069686433,-4.991
set5IT087,-17.056934339243103,-4.961
set5IT088,-15.461014808944489,-4.154
set6IT057,0.5909788819359135,0.053
set6IT059,-8.945153551598796,-1.761
set6IT061,-10.398106732977318,-4.393
set6IT064,-0.9953507478079898,-0.003
set6IT065,0.0386413599520726,0.183
set7IT042,-0.0555176944647644,-0.028
set7IT044,-0.0335693918748834,-0.158
set7IT045,0.1063753946834334,-0.047
set7IT055,-0.7251452712445704,-0.095
set7IT056,-1.3166186254634955,-0.068
set7IT057,0.3956392236945558,-0.049
set7IT062,-0.8164291160715424,0.018
set8IT058,0.0586005181145083,0.088
set8IT059,0.5038476741728425,-0.072
set8IT060,0.0103213979476234,-0.181
set8IT062,-0.1787584204016812,-0.08
set8IT064,0.06891553126317,0.23
set8IT070,0.4341666496071446,-0.006
set8IT073,0.0268727713556664,0.052
set8IT080,-0.0711459293001045,0.004
set8IT081,-0.183434877762548,-0.001
set8IT082,-0.4053391573217075,-0.042
set8IT084,0.1118219943528476,-0.194
set8IT085,0.2459068299128473,-0.179
set8IT089,0.3773114261299092,0.152
set8IT090,0.0909849973087479,0.244
set8IT092,-0.359251392195662,0.217
set8IT093,-0.426141288910741,0.325
set8IT094,-0.4982999450858967,0.247
set8IT095,-0.0290103033150198,0.161
set8IT096,0.2584971429561818,0.212
set9IT020,-0.4907644672420732,0.061
set9IT022,-1.2486185713101696,-0.225
set9IT025,-0.1332122098641432,-0.024
