,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.078,0.10606601717798213,2.0,0.0,-0.153,1.0,-0.003,,,,
1,set1__Glucose carbon source (20mM),-0.12,0.0014142135623730963,2.0,2.0,-0.119,3.0,-0.121,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.10750000000000001,0.22556706319850867,2.0,4.0,0.052,5.0,-0.267,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.1575,0.14071424945612296,2.0,6.0,-0.257,7.0,-0.058,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.3285,0.06434671708797583,2.0,8.0,-0.283,9.0,-0.374,,,,
5,set5__D-Glucose carbon source,-0.0024999999999999996,0.014849242404917497,2.0,10.0,-0.013,11.0,0.008,,,,
6,set5__Levulinic Acid carbon source,0.11775,0.1625143583400146,4.0,12.0,0.162,13.0,0.328,14.0,0.009,15.0,-0.028
7,set5__Vanillin carbon source,0.1475,0.08838834764831843,2.0,16.0,0.085,17.0,0.21,,,,
8,set5__p-Coumaric acid carbon source,-0.13,0.12162236636408617,2.0,18.0,-0.216,19.0,-0.044,,,,
9,set6__D-Glucose carbon source,-0.04,,1.0,20.0,-0.04,,,,,,
10,set6__Ferulic Acid carbon source,0.006,,1.0,21.0,0.006,,,,,,
11,set6__benzoic acid carbon source,0.364,,1.0,22.0,0.364,,,,,,
12,set6__Valerolactam carbon source,0.154,,1.0,23.0,0.154,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.305,,1.0,24.0,0.305,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.026,,1.0,25.0,-0.026,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.1,0.1400071426749364,2.0,26.0,0.199,30.0,0.001,,,,
16,set7__Valerolactam 10 mM carbon source,-0.099,,1.0,27.0,-0.099,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.015,,1.0,28.0,0.015,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.222,0.016970562748477157,2.0,29.0,-0.21,31.0,-0.234,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.072,,1.0,32.0,0.072,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.01,,1.0,33.0,-0.01,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.166,,1.0,34.0,0.166,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.038,0.09899494936611666,2.0,35.0,-0.032,47.0,0.108,,,,
