,-0.3317887857077556,-0.28074435713733165,-0.22969992856690769,-0.17865549999648372,-0.12761107142605976,-0.0765666428556358,-0.02552221428521184,0.02552221428521212,0.07656664285563608,0.12761107142606004,0.178655499996484,0.22969992856690802,0.2807443571373319,0.33178878570775583,0.38283321427817985,0.43387764284860386,0.48492207141902777,0.5359664999894517,0.5870109285598757,0.6380553571302997
thresh,-0.35731099999296756,0.35731099999296756,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,12,2481,2228,8,2,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ruvC'],[]
