,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.022,0.07071067811865475,2.0,0.0,-0.028,1.0,0.072,,,,
1,set1__Glucose carbon source (20mM),0.0875,0.045961940777125586,2.0,2.0,0.12,3.0,0.055,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.0115,0.06151828996322963,2.0,4.0,-0.032,5.0,0.055,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.037,0.07778174593052023,2.0,6.0,0.018,7.0,-0.092,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.002999999999999999,0.05091168824543143,2.0,8.0,-0.039,9.0,0.033,,,,
5,set5__D-Glucose carbon source,-0.0815,0.04030508652763321,2.0,10.0,-0.11,11.0,-0.053,,,,
6,set5__Levulinic Acid carbon source,-0.0175,0.06599242380758567,4.0,12.0,0.052,13.0,-0.056,14.0,0.023,15.0,-0.089
7,set5__Vanillin carbon source,-0.024,0.04101219330881976,2.0,16.0,0.005,17.0,-0.053,,,,
8,set5__p-Coumaric acid carbon source,-0.015500000000000007,0.16899852070358484,2.0,18.0,-0.135,19.0,0.104,,,,
9,set6__D-Glucose carbon source,-0.056,,1.0,20.0,-0.056,,,,,,
10,set6__Ferulic Acid carbon source,-0.087,,1.0,21.0,-0.087,,,,,,
11,set6__benzoic acid carbon source,0.01,,1.0,22.0,0.01,,,,,,
12,set6__Valerolactam carbon source,0.051,,1.0,23.0,0.051,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.067,,1.0,24.0,0.067,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.008,,1.0,25.0,-0.008,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.08299999999999999,0.12869343417595164,2.0,26.0,0.008,30.0,-0.174,,,,
16,set7__Valerolactam 10 mM carbon source,0.094,,1.0,27.0,0.094,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.121,,1.0,28.0,0.121,,,,,,
18,set7__D-Lysine 10 mM carbon source,-0.03,0.06363961030678927,2.0,29.0,0.015,31.0,-0.075,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.106,,1.0,32.0,0.106,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.166,,1.0,33.0,0.166,,,,,,
