,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.291,0.08626702730475878,2.0,0.0,-0.23,1.0,-0.352,,,,
1,set1__Glucose carbon source (20mM),-0.1285,0.021920310216782965,2.0,2.0,-0.144,3.0,-0.113,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.018000000000000002,0.24324473272817232,2.0,4.0,-0.19,5.0,0.154,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.07,0.0579827560572969,2.0,6.0,-0.111,7.0,-0.029,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.016,0.042426406871192854,2.0,8.0,-0.014,9.0,0.046,,,,
5,set5__D-Glucose carbon source,0.0215,0.0007071067811865457,2.0,10.0,0.021,11.0,0.022,,,,
6,set5__Levulinic Acid carbon source,0.3225,0.1382811146421183,4.0,12.0,0.267,13.0,0.446,14.0,0.153,15.0,0.424
7,set5__Vanillin carbon source,0.1015,0.23829498525986653,2.0,16.0,0.27,17.0,-0.067,,,,
8,set5__p-Coumaric acid carbon source,0.0405,0.037476659402887025,2.0,18.0,0.067,19.0,0.014,,,,
9,set6__D-Glucose carbon source,0.003,,1.0,20.0,0.003,,,,,,
10,set6__Ferulic Acid carbon source,0.426,,1.0,21.0,0.426,,,,,,
11,set6__benzoic acid carbon source,-0.028,,1.0,22.0,-0.028,,,,,,
12,set6__Valerolactam carbon source,0.095,,1.0,23.0,0.095,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.065,,1.0,24.0,0.065,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.503,,1.0,25.0,0.503,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.189,0.3549676041556469,2.0,26.0,0.44,30.0,-0.062,,,,
16,set7__Valerolactam 10 mM carbon source,-0.053,,1.0,27.0,-0.053,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.015,,1.0,28.0,-0.015,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.039,0.012727922061357857,2.0,29.0,0.03,31.0,0.048,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,-0.006,,1.0,32.0,-0.006,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,0.025,,1.0,33.0,0.025,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.006,,1.0,34.0,0.006,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.20650000000000002,0.03181980515339465,2.0,35.0,-0.229,47.0,-0.184,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.1085,0.185969083452062,2.0,36.0,-0.24,49.0,0.023,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.001,,1.0,37.0,-0.001,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.399,,1.0,38.0,0.399,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.251,,1.0,39.0,-0.251,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,-0.038,,1.0,40.0,-0.038,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.047,,1.0,41.0,0.047,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",0.279,,1.0,42.0,0.279,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.121,,1.0,43.0,-0.121,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,0.042,,1.0,44.0,0.042,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,0.04,,1.0,45.0,0.04,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.289,,1.0,46.0,0.289,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.117,,1.0,48.0,-0.117,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.003,,1.0,50.0,0.003,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.074,,1.0,51.0,0.074,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,-0.138,,1.0,52.0,-0.138,,,,,,
