,-0.17076320246043308,-0.14230266871702757,-0.11384213497362206,-0.08538160123021654,-0.05692106748681103,-0.028460533743405514,0.0,0.028460533743405514,0.05692106748681103,0.08538160123021654,0.11384213497362206,0.14230266871702757,0.17076320246043308,0.1992237362038386,0.2276842699472441,0.2561448036906496,0.28460533743405514,0.31306587117746065,0.34152640492086617,0.3699869386642717
thresh,-0.15653293558873033,0.15653293558873033,2,,,,,,,,,,,,,,,,,
unreg,1,1,2,3,18,263,4186,219,23,7,1,1,1,0,0,0,0,1,0,0
PydR,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0
unreg_genes,['cysB'],[],[],[],[],[],[],[],[],[],[],[],['PP_4754'],[],[],[],[],['PP_0596'],[],[]
PydR_genes,[],[],[],[],[],[],['hyuC'],['pydP'],[],[],[],[],['pydB' 'pydX'],['pydA'],[],[],[],[],[],[]
