,-0.13030560218833717,-0.09772920164125289,-0.0651528010941686,-0.032576400547084314,-2.7755575615628914e-17,0.032576400547084244,0.06515280109416854,0.09772920164125284,0.13030560218833712,0.1628820027354214,0.19545840328250566,0.22803480382959,0.2606112043766743,0.2931876049237585,0.32576400547084283,0.35834040601792716,0.3909168065650114,0.4234932071120957,0.4560696076591799,0.48864600820626425
thresh,-0.11401740191479501,0.11401740191479501,1,,,,,,,,,,,,,,,,,
unreg,3,3,21,166,4381,138,14,2,1,0,0,1,0,0,1,0,0,1,0,0
unreg_genes,['trkA' 'phoP' 'PP_2402'],[],[],[],[],[],[],[],['PP_4696'],[],[],['oprB-II'],[],[],['rlmD'],[],[],['relA'],[],[]
