,PP_2356
set1IT078,-0.404
set1IT079,-0.445
set1IT080,-0.559
set1IT081,-0.293
set1IT082,-1.351
set1IT083,-1.715
set1IT084,-0.577
set1IT085,-0.483
set1IT086,-0.394
set1IT087,-0.38
set5IT075,-0.268
set5IT076,-0.261
set5IT081,-1.116
set5IT082,-1.052
set5IT083,-0.432
set5IT084,-0.441
set5IT085,-1.355
set5IT086,-1.608
set5IT087,-1.538
set5IT088,-1.62
set6IT057,0.02
set6IT059,-2.488
set6IT061,-1.683
set6IT064,-0.392
set6IT065,-0.007
set7IT042,0.19
set7IT044,0.071
set7IT045,-0.075
set7IT055,-0.011
set7IT056,0.199
set7IT057,0.18
set7IT062,-0.048
set8IT058,-0.309
set8IT059,-0.139
set8IT060,-0.528
set8IT062,-0.399
set8IT064,-0.267
set8IT070,-0.163
set8IT073,-0.989
set8IT080,-0.143
set8IT081,-0.193
set8IT082,-0.482
set8IT084,-0.516
set8IT085,-1.013
set8IT089,-0.082
set8IT090,-0.225
set8IT092,-0.469
set8IT093,-0.733
set8IT094,-0.76
set8IT095,-0.895
set8IT096,-0.581
set9IT020,-0.507
set9IT022,-0.16
set9IT025,-0.22
set10IT006,0.092
set10IT008,-0.051
set10IT010,-0.071
set10IT017,0.082
set10IT018,-0.108
set10IT019,0.028
set10IT020,-0.109
set10IT021,-0.002
set10IT022,0.02
set10IT023,0.109
set10IT024,-0.053
set10IT025,0.161
set10IT026,-0.099
set10IT027,-0.118
set10IT028,0.065
set10IT029,0.103
set10IT031,-0.044
set10IT032,0.02
set10IT033,0.026
set10IT034,0.095
set10IT035,0.044
set10IT036,0.062
set10IT037,-0.164
set10IT043,0.095
set10IT044,-0.085
set10IT053,-0.348
set12IT001,-2.217
set12IT002,-0.026
set12IT004,-0.303
set12IT007,-1.26
set12IT008,-0.813
set12IT009,-0.386
set12IT014,-1.492
set12IT015,-1.456
set12IT016,-1.479
set12IT017,-2.041
set12IT023,0.09
set12IT024,-1.938
set12IT025,-1.972
set12IT026,-2.11
set12IT027,-0.311
set12IT028,-0.14
set12IT029,-2.585
set12IT031,-2.129
set12IT032,-0.194
set12IT034,-0.094
set12IT037,-1.391
set12IT038,-0.883
set12IT039,-0.476
set12IT044,-1.687
set12IT046,-1.727
set12IT053,-0.123
set12IT054,-1.898
set12IT055,-1.865
set12IT056,-2.237
set12IT057,-0.087
set12IT058,0.074
set12IT059,-2.888
set15IT054,-1.324
set15IT057,-2.767
set15IT058,-2.282
set15IT059,-1.909
set15IT060,-2.331
set15IT061,-1.889
set15IT062,-2.36
set15IT063,-0.165
set15IT064,-2.004
set15IT065,-2.319
set15IT066,-1.872
set15IT067,-2.279
set15IT068,-1.929
set15IT071,-1.515
set15IT072,-2.332
set15IT073,-1.984
set15IT074,-2.506
set15IT075,-2.44
set15IT076,-2.281
set15IT077,-0.531
set15IT078,-1.684
set15IT079,-2.603
set15IT080,-1.751
set15IT081,-1.725
set16IT004,-0.215
set16IT005,-0.279
set16IT006,-0.593
set16IT007,-0.599
set16IT008,-0.963
set16IT009,-0.812
set16IT010,-0.804
set16IT011,-0.695
set16IT012,-0.402
set16IT013,-0.373
set16IT014,-0.131
set16IT015,-0.231
set27IT004,0.078
set27IT005,-0.01
set27IT006,-0.219
set27IT007,-0.117
set27IT008,-0.075
set27IT009,-0.068
set27IT010,-0.189
set27IT011,-0.078
set27IT012,-0.099
set27IT013,-0.105
set27IT014,0.048
set27IT015,0.025
set27IT016,0.059
set27IT017,-0.045
set27IT018,0.059
set27IT019,-0.129
set27IT020,-0.188
set27IT021,-0.333
set27IT024,-0.151
set27IT025,-0.324
set27IT028,0.2
set27IT029,0.436
set27IT030,-0.018
set27IT031,-0.04
set27IT032,0.063
set27IT033,0.016
set27IT034,-0.094
set27IT035,-0.092
set27IT036,-0.026
set27IT037,0.129
set27IT038,0.024
set27IT039,-0.003
set27IT040,0.287
set27IT041,0.167
set27IT042,-0.003
set27IT043,0.086
set27IT044,0.076
set27IT045,-0.015
set27IT046,0.011
set27IT047,0.014
set27IT048,-0.074
set27IT049,-0.044
set27IT050,-0.008
set27IT051,-0.028
set27IT052,0.069
set27IT053,-0.027
set27IT054,0.038
set27IT055,0.067
set27IT056,0.082
set27IT057,0.091
set27IT058,-0.167
set27IT059,-0.187
set27IT060,-0.076
set27IT061,-0.125
set27IT062,0.22
set27IT063,0.004
set27IT064,-0.251
set27IT065,-0.447
set27IT066,-0.096
set27IT067,-0.115
set27IT068,0.114
set27IT069,-0.033
set27IT070,0.018
set27IT071,-0.17
set27IT072,-0.094
set27IT073,-0.051
set28IT003,-0.97
set28IT004,-1.129
set28IT005,-0.098
set28IT006,-0.137
set28IT007,-0.139
set28IT008,-0.042
set28IT009,-0.03
set28IT010,0.036
set28IT013,-0.184
set28IT014,-0.045
set28IT017,-0.312
set28IT018,-0.298
set28IT021,-0.241
set28IT022,-0.103
set28IT023,-0.215
set28IT024,-0.126
