,-0.15679463051235723,-0.12543570440988577,-0.09407677830741432,-0.06271785220494286,-0.0313589261024714,5.551115123125783e-17,0.03135892610247151,0.06271785220494297,0.09407677830741443,0.1254357044098859,0.15679463051235734,0.18815355661482877,0.21951248271730026,0.25087140881977177,0.28223033492224314,0.3135892610247146,0.3449481871271861,0.3763071132296576,0.4076660393321291,0.43902496543460046
thresh,-0.10975624135865006,0.10975624135865006,1,,,,,,,,,,,,,,,,,
unreg,2,3,5,13,206,4289,200,7,1,0,3,1,0,1,0,1,0,0,0,0
unreg_genes,['PP_2402' 'metW'],['PP_5114' 'ilvE' 'minD'],[],[],[],[],[],[],[],[],['pcaI' 'tusA-I' 'metZ'],['ilvI'],[],['cysB'],[],['PP_3105'],[],[],[],[]
