,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),0.1125,0.07707463914933368,2.0,0.0,0.167,1.0,0.058,,,,
1,set1__Glucose carbon source (20mM),-0.1845,0.021920310216782975,2.0,2.0,-0.169,3.0,-0.2,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),0.052,0.028284271247461894,2.0,4.0,0.072,5.0,0.032,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.064,0.2022325394193526,2.0,6.0,0.079,7.0,-0.207,,,,
4,set1__Potassium Acetate Carbon Source (5mM),-0.2405,0.10535891039679558,2.0,8.0,-0.166,9.0,-0.315,,,,
5,set5__D-Glucose carbon source,0.0185,0.10253048327204939,2.0,10.0,0.091,11.0,-0.054,,,,
6,set5__Levulinic Acid carbon source,0.0635,0.07357762341001961,4.0,12.0,0.041,13.0,0.152,14.0,0.084,15.0,-0.023
7,set5__Vanillin carbon source,0.208,0.13293607486307094,2.0,16.0,0.302,17.0,0.114,,,,
8,set5__p-Coumaric acid carbon source,0.14600000000000002,0.03535533905932738,2.0,18.0,0.171,19.0,0.121,,,,
9,set6__D-Glucose carbon source,0.05,,1.0,20.0,0.05,,,,,,
10,set6__Ferulic Acid carbon source,0.22,,1.0,21.0,0.22,,,,,,
11,set6__benzoic acid carbon source,0.091,,1.0,22.0,0.091,,,,,,
12,set6__Valerolactam carbon source,-0.024,,1.0,23.0,-0.024,,,,,,
13,set6__D-Glucuronic Acid carbon source,0.008,,1.0,24.0,0.008,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,0.03,,1.0,25.0,0.03,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,0.124,0.021213203435596437,2.0,26.0,0.139,30.0,0.109,,,,
16,set7__Valerolactam 10 mM carbon source,-0.087,,1.0,27.0,-0.087,,,,,,
17,set7__L-Lysine 10 mM carbon source,-0.124,,1.0,28.0,-0.124,,,,,,
