,A,BenR
R2,,0.5250974420646836
xmin,,-3.162
xmid,,
xmax,,0.364
ystart,,-14.527962363812929
yend,,1.5949816779270884
set1IT078,-0.1893952167422849,-0.014
set1IT079,-0.3751453216706996,-0.192
set1IT080,-0.445818829663094,0.068
set1IT081,-0.5172676453063663,-0.103
set1IT082,0.3232556811251625,0.155
set1IT083,-0.8563562690656411,0.09
set1IT084,-0.310308066134035,-0.056
set1IT085,-0.6985673569048036,0.02
set1IT086,-0.1553180291936172,-0.003
set1IT087,-0.183397986283832,-0.238
set5IT075,-0.677461155191914,-0.204
set5IT076,-0.888478045517392,0.003
set5IT081,0.2091782106967736,-0.016
set5IT082,0.4677843754628673,-0.024
set5IT083,-0.6547102989999133,-0.088
set5IT084,-0.1895988301224351,-0.072
set5IT085,3.749943009200491,-0.152
set5IT086,3.3431899010938526,-0.283
set5IT087,3.2421597017020387,-0.188
set5IT088,2.5562903197235443,0.002
set6IT057,-0.1778175858890558,0.057
set6IT059,0.5230300802992627,0.169
set6IT061,-7.953527744602135,-0.673
set6IT064,-0.4869761647959756,0.071
set6IT065,-0.1304376367612376,0.023
set7IT042,0.0798125008292128,-0.064
set7IT044,0.3543655392491577,0.058
set7IT045,-0.3009817209412371,-0.06
set7IT055,-0.1754653581638579,-0.141
set7IT056,-0.3472413049335247,0.149
set7IT057,0.0739626291677861,-0.178
set7IT062,-0.649675610061994,-0.094
set8IT058,-0.0832855685571167,-0.071
set8IT059,0.4922460778747868,0.049
set8IT060,-0.0271252315869702,-0.192
set8IT062,0.3413702826339302,-0.043
set8IT064,0.4865115067642226,0.159
set8IT070,0.16831169772826,-0.061
set8IT073,1.1070014755580482,0.364
set8IT080,0.0420635202476668,-0.022
set8IT081,-0.0516976091958577,-0.138
set8IT082,-1.1000043369469157,-0.167
set8IT084,0.3330696558709458,-0.176
set8IT085,-0.0057937807963725,-0.259
set8IT089,0.3850243728924675,-0.194
set8IT090,-0.5450845555560014,-0.198
set8IT092,-0.5142994752599812,-0.16
set8IT093,-0.1224768614781809,-0.129
set8IT094,-0.0498028214694465,-0.348
set8IT095,0.3643791911453666,-0.149
set8IT096,-0.0153097753516293,-0.283
set9IT020,0.3747830230487213,-0.02
set9IT022,-0.3808329294954705,0.034
set9IT025,-0.2336099599531289,-0.03
set10IT006,-0.0994639607584283,-0.006
set10IT008,0.3273944325405434,0.005
set10IT010,0.1649227788212091,-0.07
set10IT017,0.1125393783220364,0.154
set10IT018,0.0731750760739242,0.053
set10IT019,-0.6765599274566132,-0.008
