,-0.24251021090416214,-0.20209184242013511,-0.1616734739361081,-0.12125510545208107,-0.08083673696805405,-0.04041836848402702,0.0,0.04041836848402702,0.08083673696805405,0.12125510545208107,0.1616734739361081,0.20209184242013511,0.24251021090416214,0.28292857938818916,0.3233469478722162,0.3637653163562432,0.40418368484027023,0.44460205332429725,0.4850204218083243,0.5254387902923513
thresh,-0.10104592121006756,0.10104592121006756,2,,,,,,,,,,,,,,,,,
unreg,1,3,1,0,2,71,4555,85,6,1,0,0,1,2,0,0,0,0,0,0
BenR,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
unreg_genes,['pcaH'],['pcaB' 'pcaG' 'pcaC'],['pcaQ'],[],[],[],[],[],[],['benR'],[],[],['catR'],['catC' 'catB'],[],[],[],[],[],[]
BenR_genes,[],[],[],[],[],[],[],[],[],['benA' 'benB'],['benC'],[],[],[],[],['benD'],[],[],[],[]
