,-0.17807631722529965,-0.1456988050025179,-0.11332129277973613,-0.08094378055695436,-0.0485662683341726,-0.01618875611139084,0.016188756111390923,0.048566268334172685,0.08094378055695445,0.11332129277973618,0.14569880500251797,0.17807631722529976,0.2104538294480815,0.24283134167086323,0.275208853893645,0.3075863661164268,0.33996387833920855,0.3723413905619903,0.404718902784772,0.43709641500755386
thresh,-0.09713253666834526,0.09713253666834526,1,,,,,,,,,,,,,,,,,
unreg,2,1,6,8,34,2296,2350,25,5,1,0,0,0,2,1,0,0,1,0,0
unreg_genes,['orn' 'miaA'],['trpE'],['cidB' 'PP_4954' 'ppk' 'PP_2348' 'lldD' 'cidA'],[],[],[],[],[],[],['metW'],[],[],[],['PP_5350' 'zwfA'],['argA'],[],[],['pykA'],[],[]
