,-0.07347665735819639,-0.05248332668442599,-0.031489996010655594,-0.010496665336885203,0.010496665336885203,0.03148999601065561,0.052483326684425985,0.07347665735819639,0.0944699880319668,0.1154633187057372,0.1364566493795076,0.15744998005327798,0.17844331072704836,0.19943664140081876,0.22042997207458917,0.24142330274835958,0.26241663342212995,0.28340996409590036,0.30440329476967076,0.32539662544344117
thresh,-0.08397332269508159,0.08397332269508159,2,,,,,,,,,,,,,,,,,
unreg,2,5,94,2464,2054,63,8,2,2,0,3,0,1,1,0,0,0,0,0,0
PedR1,0,0,1,7,5,2,0,5,4,2,0,0,0,3,2,0,0,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],['mmgF' 'PP_2213'],[],['prpC' 'PP_2217' 'PP_2215'],[],['fadBA'],['pqqF'],[],[],[],[],[],[]
PedR1_genes,[],[],['pqqD-II'],['PP_3784' 'scpC' 'PP_2678' 'cvrA' 'aldB-II' 'PP_0375' 'PP_3785'],['PP_3782' 'PP_2663' 'PP_2677' 'syrB' 'PP_3781'],['PP_2664' 'PP_2666'],[],['PP_2669' 'qedH-II' 'PP_2676' 'PP_5538' 'PP_2667'],['PP_2668' 'PP_2671' 'PP_2683' 'pqqA'],['exaE' 'qedH-I'],[],[],[],['pqqB' 'pqqD-I' 'yiaY'],['pqqC' 'agmR'],[],[],['pqqE' 'PP_2675'],[],[]
