,-0.08980903438245691,-0.05388542062947414,-0.017961806876491376,0.01796180687649139,0.05388542062947416,0.08980903438245691,0.1257326481354397,0.16165626188842247,0.19757987564140522,0.23350348939438798,0.26942710314737073,0.30535071690035354,0.3412743306533363,0.37719794440631904,0.41312155815930185,0.44904517191228455,0.48496878566526735,0.5208923994182502,0.5568160131712329,0.5927396269242157
thresh,-0.1077708412589483,0.1077708412589483,1,,,,,,,,,,,,,,,,,
unreg,1,14,2515,2181,15,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0
unreg_genes,[],[],[],[],[],[],['putA'],[],[],[],[],[],[],['PP_1111'],[],['PP_1109'],['PP_1110'],[],[],[]
