,A,FleQ
R2,,0.10399696752015564
xmin,,-3.548
xmid,,
xmax,,0.696
ystart,,-3.952437185279594
yend,,0.6550416053304914
set1IT078,-1.0596899473844943,-0.579
set1IT079,-0.9953472198039276,-0.607
set1IT080,-1.2555254359358192,-0.639
set1IT081,-1.2547364118057005,-0.651
set1IT082,-0.9937870668896928,-1.793
set1IT083,-2.0445742436283085,-2.475
set1IT084,-0.9915649057583228,-1.04
set1IT085,-0.0141798232241715,-1.221
set1IT086,-1.0553289087997633,-1.222
set1IT087,-0.9455614433901284,-1.439
set5IT075,-0.7038693773959145,-0.518
set5IT076,-0.3187296761760524,-0.578
set5IT081,0.0701838953792036,-0.443
set5IT082,-2.223457317195689,-0.792
set5IT083,-2.426109341535589,-0.755
set5IT084,-2.7183213943629894,-0.707
set5IT085,4.555878763044546,0.362
set5IT086,5.209259495405888,0.325
set5IT087,-2.8444473114738624,-1.047
set5IT088,-2.818852586489077,-1.025
set6IT057,-0.8319905603063853,-0.483
set6IT059,-3.516954071235831,-0.477
set6IT061,-1.1680133958094585,0.409
set6IT064,-0.7354954725313781,0.231
set6IT065,-7.011327322759416,-0.559
set7IT042,-0.0265377019339088,-0.413
set7IT044,0.8161592578414436,-0.706
set7IT045,-1.5040663947552688,-0.515
set7IT055,0.459245529157024,-1.0
set7IT056,-1.8019871778800405,-0.243
set7IT057,1.656171624860454,-0.661
set7IT062,-1.7955277079344876,-0.451
set8IT058,0.3903075813056989,-0.546
set8IT059,1.777891270576516,-0.599
set8IT060,1.0084641666834382,-0.864
set8IT062,-0.6768937593470217,-0.794
set8IT064,1.6353850905594975,-0.785
set8IT070,0.6655030923987902,-0.352
set8IT073,5.06655085001457,-0.297
set8IT080,-0.906739933413594,-0.211
set8IT081,-0.3130032374013054,-0.557
set8IT082,4.375468755473707,-0.443
set8IT084,3.637422334779492,-0.095
set8IT085,2.6484937235324493,-0.133
set8IT089,-0.1639531344555912,0.169
set8IT090,0.1973489535010498,0.05
set8IT092,0.0804520569354158,-0.806
set8IT093,1.2968727861220146,-0.463
set8IT094,-0.3177310274352753,-0.781
set8IT095,-0.7087287915678491,-0.579
set8IT096,-1.2081825091777427,-0.736
set9IT020,-0.0810839532039341,-0.437
set9IT022,-0.3245588590513849,-0.438
set9IT025,2.6220473650422536,-0.126
set10IT006,-1.5504621202981257,-1.259
set10IT008,2.8085085071794147,-0.184
set10IT010,-0.6329391886044919,-0.332
set10IT017,-0.1993488802628897,-0.402
set10IT018,-0.5971208441543405,-0.466
set10IT019,-0.0634858754897198,-0.547
set10IT020,-0.8988390344744879,-0.437
set10IT021,0.6084073389593779,-0.384
set10IT022,-0.1686243036977174,-0.447
set10IT023,-0.0751063744471258,-0.559
set10IT024,0.0416959369360016,-0.438
set10IT025,0.3890424882456997,-0.428
set10IT026,0.5613256847614205,-0.561
set10IT027,0.1813731028114078,-0.419
set10IT028,0.3252830799822975,-0.17
set10IT029,-0.2041070911474834,-0.255
set10IT031,-0.3126189189673608,-0.495
set10IT032,-0.5565487497630046,-0.437
set10IT033,0.0277013813255867,-0.272
set10IT034,-0.9439251645973538,-0.394
set10IT035,0.0318625706291956,-0.379
set10IT036,0.4505040473551463,-0.48
set10IT037,-0.1866396058292947,-0.442
set10IT043,-1.076164617435808,0.005
set10IT044,-5.1986458885984135,-0.986
set10IT053,-1.0464918641864054,-1.722
set12IT001,0.7780595962392244,-1.422
set12IT002,-0.1903881210070972,-0.91
set12IT004,-0.6444264628243502,-0.953
set12IT007,-1.0354964626385297,-0.225
set12IT008,-5.341260660017169,-0.84
set12IT009,-2.469101243068612,-1.069
set12IT014,2.7180261051041943,-0.391
set12IT015,2.179383002787359,-1.622
set12IT016,1.7349330608027742,-0.871
set12IT017,1.08632433507644,-1.705
set12IT023,-0.6922593450617214,-0.755
set12IT024,1.0378584792525274,-1.451
set12IT025,3.5471521379031565,-1.708
set12IT026,3.603550589146765,-1.572
set12IT027,1.4691597991395438,-1.029
set12IT028,0.047996056617829,-0.684
set12IT029,1.1131947697735567,-0.667
set12IT031,-1.8035728294054945,-1.512
set12IT032,-0.0901254397926629,-1.057
set12IT034,-2.018835369766468,-0.732
set12IT037,0.0891706893245968,-0.022
set12IT038,-5.643737984331601,-1.296
set12IT039,-1.5522148350482186,-0.779
set12IT044,4.025117649893847,-0.593
set12IT046,2.1892464077359004,-0.691
set12IT053,-1.3583917795865847,-0.934
set12IT054,0.3230896061862042,-1.448
set12IT055,4.347676193970444,-1.077
set12IT056,4.73328259457449,-1.24
set12IT057,0.4815539700039803,-0.977
set12IT058,0.2729391723295694,-0.4
set12IT059,0.9153152559568056,-0.391
set15IT054,-0.4861907654820705,0.312
set15IT057,-1.7119921072118671,-1.055
set15IT058,-1.258398742201129,-0.931
set15IT059,-0.8389932079268543,-0.787
set15IT060,-1.5675018634481617,-0.595
set15IT061,-1.009298572318903,-0.338
set15IT062,-0.0866708692667377,-0.538
set15IT063,-2.9323454723246027,-1.479
set15IT064,0.060234397396252,-1.106
set15IT065,-1.9864839627150104,-1.057
set15IT066,0.0187642916488792,0.696
set15IT067,-0.4836322233384754,-0.448
set15IT068,0.7567261257733301,0.367
set15IT071,-2.5763092514768635,-0.417
set15IT072,-2.1648888329599814,-0.889
set15IT073,-0.9743523293605014,-0.727
set15IT074,-0.7801454231248138,-0.587
set15IT075,-1.5825340587926338,-0.343
set15IT076,-1.123107761321998,-0.372
set15IT077,-2.6194893514492827,-1.311
set15IT078,1.1542435423113533,-0.706
set15IT079,-2.3421433101172804,-1.069
set15IT080,-1.6096234275225438,0.445
set15IT081,-0.3992763332026945,-0.493
set16IT004,-0.0707985750970618,-0.687
set16IT005,-0.2830156142084199,-0.503
set16IT006,1.2452150091845045,-1.524
set16IT007,-2.2092855926838544,-1.484
set16IT008,-0.2083281335884798,-0.796
set16IT009,0.5432903702517122,-0.862
set16IT010,0.6364970643781778,-0.607
set16IT011,-0.3573856153847184,0.181
set16IT012,-0.3350876699372995,-1.93
set16IT013,-0.4995398014419482,-1.766
set16IT014,-0.0432609668604418,-0.715
set16IT015,0.0601893630993966,-0.878
