,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,set1__Glucose carbon source (40mM),-0.29250000000000004,0.35284628381208727,2.0,0.0,-0.043,1.0,-0.542,,,,
1,set1__Glucose carbon source (20mM),-0.67,0.01131370849898477,2.0,2.0,-0.662,3.0,-0.678,,,,
2,set1__4-Hydroxyvalerate carbon source (40mM),-0.349,0.2305168106668145,2.0,4.0,-0.512,5.0,-0.186,,,,
3,set1__Potassium Acetate Carbon Source (20mM),-0.2655,0.13647160876900366,2.0,6.0,-0.169,7.0,-0.362,,,,
4,set1__Potassium Acetate Carbon Source (5mM),0.046,0.1131370849898476,2.0,8.0,0.126,9.0,-0.034,,,,
5,set5__D-Glucose carbon source,-0.0465,0.11667261889578034,2.0,10.0,-0.129,11.0,0.036,,,,
6,set5__Levulinic Acid carbon source,0.121,0.26641821759531886,4.0,12.0,0.227,13.0,0.421,14.0,-0.203,15.0,0.039
7,set5__Vanillin carbon source,0.22799999999999998,0.09475230867899735,2.0,16.0,0.161,17.0,0.295,,,,
8,set5__p-Coumaric acid carbon source,-0.10149999999999999,0.2722361107568208,2.0,18.0,-0.294,19.0,0.091,,,,
9,set6__D-Glucose carbon source,-0.394,,1.0,20.0,-0.394,,,,,,
10,set6__Ferulic Acid carbon source,-0.045,,1.0,21.0,-0.045,,,,,,
11,set6__benzoic acid carbon source,0.111,,1.0,22.0,0.111,,,,,,
12,set6__Valerolactam carbon source,-0.059,,1.0,23.0,-0.059,,,,,,
13,set6__D-Glucuronic Acid carbon source,-0.183,,1.0,24.0,-0.183,,,,,,
14,set7__4-Aminobutyric acid 10 mM carbon source,-0.067,,1.0,25.0,-0.067,,,,,,
15,set7__5-Aminovaleric acid 10 mM carbon source,-0.3265,0.6045762979144981,2.0,26.0,-0.754,30.0,0.101,,,,
16,set7__Valerolactam 10 mM carbon source,-0.35,,1.0,27.0,-0.35,,,,,,
17,set7__L-Lysine 10 mM carbon source,0.162,,1.0,28.0,0.162,,,,,,
18,set7__D-Lysine 10 mM carbon source,0.19999999999999998,0.13859292911256332,2.0,29.0,0.102,31.0,0.298,,,,
19,set8__Adaptation in M9 media timecourse 1; day 2,0.0,,1.0,32.0,0.0,,,,,,
20,set8__Adaptation in M9 media timecourse 1; day 3,-0.374,,1.0,33.0,-0.374,,,,,,
21,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.237,,1.0,34.0,0.237,,,,,,
22,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,-0.2375,0.47871129086329267,2.0,35.0,0.101,47.0,-0.576,,,,
23,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 10% DO.,0.1515,0.15344217151748082,2.0,36.0,0.26,49.0,0.043,,,,
24,set8__Adaptation in M9 media timecourse 2; day 3,-0.231,,1.0,37.0,-0.231,,,,,,
25,set8__48hr timepoint of 1L M9/1% dextrose DISCONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat set to 10% DO.,0.018,,1.0,38.0,0.018,,,,,,
26,set8__Adaptation in M9 media timecourse 3; day 2,-0.328,,1.0,39.0,-0.328,,,,,,
27,set8__Adaptation in M9 media timecourse 3; day 3,0.101,,1.0,40.0,0.101,,,,,,
28,"set8__24hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.589,,1.0,41.0,-0.589,,,,,,
29,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 1g/hr dextrose, set to 30% DO.",-0.139,,1.0,42.0,-0.139,,,,,,
30,"set8__40hr timepoint of 1L M9/1% dextrose CONTINUOUS FED BATCH fermentation in 2L Sartorius Biostat, feed rate 2.15g/hr dextrose, set to 30% DO.",-0.441,,1.0,43.0,-0.441,,,,,,
31,set8__Adaptation in M9 media timecourse 4; day 2,-0.212,,1.0,44.0,-0.212,,,,,,
32,set8__Adaptation in M9 media timecourse 4; day 3,-0.348,,1.0,45.0,-0.348,,,,,,
33,set8__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.04,,1.0,46.0,-0.04,,,,,,
34,set8__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,-0.579,,1.0,48.0,-0.579,,,,,,
35,set8__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO.,0.16,,1.0,50.0,0.16,,,,,,
36,set9__24hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.567,,1.0,51.0,0.567,,,,,,
37,set9__48hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v dodecane overlay,0.424,,1.0,52.0,0.424,,,,,,
38,set9__72hr timepoint from 1L M9/1% dextrose BATCH fermentation in 2L Sartorius Biostat reactor kept at 30% DO with 20% v/v oleyl alcohol overlay,0.037,,1.0,53.0,0.037,,,,,,
39,set10__L-Arginine carbon source,0.299,,1.0,54.0,0.299,,,,,,
40,set10__L-Glutamic acid monopotassium salt monohydrate carbon source,-0.386,,1.0,55.0,-0.386,,,,,,
41,set10__L-Histidine carbon source,0.116,,1.0,56.0,0.116,,,,,,
42,set10__D-Glucose carbon source with 20AA_mix_minus_Ala,0.259,,1.0,57.0,0.259,,,,,,
43,set10__D-Glucose carbon source with 20AA_mix_minus_Arg,-0.052,,1.0,58.0,-0.052,,,,,,
44,set10__D-Glucose carbon source with 20AA_mix_minus_Asn,0.348,,1.0,59.0,0.348,,,,,,
45,set10__D-Glucose carbon source with 20AA_mix_minus_Asp,-0.265,,1.0,60.0,-0.265,,,,,,
46,set10__D-Glucose carbon source with 20AA_mix_minus_Cys,0.445,,1.0,61.0,0.445,,,,,,
47,set10__D-Glucose carbon source with 20AA_mix_minus_Glu,0.463,,1.0,62.0,0.463,,,,,,
48,set10__D-Glucose carbon source with 20AA_mix_minus_Gln,0.309,,1.0,63.0,0.309,,,,,,
49,set10__D-Glucose carbon source with 20AA_mix_minus_Gly,0.045,,1.0,64.0,0.045,,,,,,
50,set10__D-Glucose carbon source with 20AA_mix_minus_His,0.372,,1.0,65.0,0.372,,,,,,
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,0.107,,1.0,66.0,0.107,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,0.141,,1.0,67.0,0.141,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,0.016,,1.0,68.0,0.016,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,0.0,,1.0,69.0,0.0,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,-0.098,,1.0,70.0,-0.098,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,-0.011,,1.0,71.0,-0.011,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,0.297,,1.0,72.0,0.297,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,0.057,,1.0,73.0,0.057,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,0.651,,1.0,74.0,0.651,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,-0.31,,1.0,75.0,-0.31,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,0.122,,1.0,76.0,0.122,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,0.123,,1.0,77.0,0.123,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.162,,1.0,78.0,0.162,,,,,,
64,set10__Sodium butyrate carbon source,0.288,,1.0,79.0,0.288,,,,,,
65,set12__Vanillin carbon source,-0.20099999999999998,0.5557859300126263,2.0,80.0,0.192,97.0,-0.594,,,,
66,"set12__1,2-Propanediol carbon source",-0.2475,0.1025304832720494,2.0,81.0,-0.32,98.0,-0.175,,,,
