,-0.06773678802946534,-1.3877787807814457e-17,0.06773678802946531,0.13547357605893065,0.20321036408839596,0.27094715211786125,0.3386839401473266,0.406420728176792,0.47415751620625723,0.5418943042357226,0.6096310922651879,0.6773678802946532,0.7451046683241186,0.8128414563535838,0.8805782443830492,0.9483150324125146,1.01605182044198,1.0837886084714452,1.1515253965009107,1.219262184530376
thresh,-0.101605182044198,0.101605182044198,1,,,,,,,,,,,,,,,,,
unreg,12,4709,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,[],[],[],['ilvI' 'argG'],[],[],[],[],[],[],[],[],[],[],['ilvH'],[],[],[],[],[]
