,-0.23045654285504355,-0.18855535324503564,-0.14665416363502773,-0.10475297402501982,-0.06285178441501191,-0.020950594805003997,0.020950594805003914,0.06285178441501185,0.10475297402501973,0.14665416363502762,0.18855535324503556,0.2304565428550435,0.27235773246505135,0.31425892207505923,0.3561601116850672,0.3980613012950751,0.439962490905083,0.4818636805150909,0.5237648701250988,0.5656660597351068
thresh,-0.2514071376600475,0.2514071376600475,1,,,,,,,,,,,,,,,,,
unreg,0,0,1,1,16,2407,2287,17,0,1,0,0,0,0,1,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ptsH'],[],[],[],['ptsP'],[]
