,-0.13002204958030408,-0.11144747106883207,-0.09287289255736006,-0.07429831404588805,-0.055723735534416036,-0.037149157022944024,-0.018574578511472012,0.0,0.018574578511472012,0.037149157022944024,0.055723735534416036,0.07429831404588805,0.09287289255736006,0.11144747106883207,0.13002204958030408,0.14859662809177607,0.1671712066032481,0.18574578511472015,0.20432036362619213,0.22289494213766411
thresh,-0.1393093388360401,0.1393093388360401,1,,,,,,,,,,,,,,,,,
unreg,1,2,1,3,10,45,588,3498,491,63,11,6,3,2,2,2,0,2,2,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_4578' 'hflC'],[],['ybgJ' 'PP_4577'],['PP_5114' 'PP_4575'],[]
